campaign_map	region
#campaign_map_regions_tables;0;db/campaign_map_regions_tables/campaign_map_regions	
main_emperor	emp_achaia_athenae
main_emperor	emp_achaia_gortyna
main_emperor	emp_achaia_sparta
main_emperor	emp_aegyptos_alexandria
main_emperor	emp_aegyptos_diospolis
main_emperor	emp_aegyptos_memphis
main_emperor	emp_aegyptos_myos_hormos
main_emperor	emp_aethiopia_aksum
main_emperor	emp_aethiopia_meroe
main_emperor	emp_aethiopia_ptolemais_theron
main_emperor	emp_africa_carthago
main_emperor	emp_africa_hadrumentum
main_emperor	emp_africa_leptis_magna
main_emperor	emp_africa_macomades
main_emperor	emp_aquitania_burdigala
main_emperor	emp_aquitania_gergovia
main_emperor	emp_aquitania_limonum
main_emperor	emp_arabia_felix_eudaemon
main_emperor	emp_arabia_felix_maas_gat
main_emperor	emp_arabia_felix_marib
main_emperor	emp_arabia_magna_adummatu
main_emperor	emp_arabia_magna_gerrha
main_emperor	emp_arabia_magna_yathrib
main_emperor	emp_aria_amul
main_emperor	emp_aria_artacoana
main_emperor	emp_aria_merv
main_emperor	emp_armenia_arsamosata
main_emperor	emp_armenia_artaxa
main_emperor	emp_armenia_carana
main_emperor	emp_armenia_tigranocerta
main_emperor	emp_asia_ephesus
main_emperor	emp_asia_pergamum
main_emperor	emp_asia_pessinus
main_emperor	emp_asia_rhodos
main_emperor	emp_bactria_baktria
main_emperor	emp_bactria_eucratides
main_emperor	emp_bactria_kapisene
main_emperor	emp_baetica_corduba
main_emperor	emp_baetica_gades
main_emperor	emp_baetica_toletum
main_emperor	emp_belgica_nemecatum
main_emperor	emp_belgica_treverorum
main_emperor	emp_bithynia_et_pontus_amaseia
main_emperor	emp_bithynia_et_pontus_nicomedia
main_emperor	emp_bithynia_et_pontus_sinope
main_emperor	emp_bithynia_et_pontus_trapezos
main_emperor	emp_bosporus_panticapaeum
main_emperor	emp_bosporus_phanagoria
main_emperor	emp_bosporus_tanais
main_emperor	emp_britannia_camulodunum
main_emperor	emp_britannia_iska
main_emperor	emp_britannia_mordiunon
main_emperor	emp_britannia_sleaford
main_emperor	emp_carmania_bam
main_emperor	emp_carmania_harmozia
main_emperor	emp_caucasia_gabata
main_emperor	emp_caucasia_mtskheta
main_emperor	emp_caucasia_phasis
main_emperor	emp_chorasmia_akhur
main_emperor	emp_chorasmia_aktau
main_emperor	emp_cisalpina_genua
main_emperor	emp_cisalpina_mediolanium
main_emperor	emp_cisalpina_patavium
main_emperor	emp_corsica_et_sardinia_aleria
main_emperor	emp_corsica_et_sardinia_caralis
main_emperor	emp_dacia_pelendava
main_emperor	emp_dacia_petrodava
main_emperor	emp_dacia_piscul
main_emperor	emp_dacia_zarmizegetusa
main_emperor	emp_galatia_et_cappadocia_ancyra
