key	num_instances
#building_instances_tables;0;db/building_instances_tables/building_instances	
3c_rom_Temple_Pantheon	1
3c_rom_Temple_Sol_Invictus	1
3c_rom_city_centre_Spice	1
3c_rom_cult_christ	1
3c_rom_cult_manich	1
3c_rom_cult_mithra	1
3c_rom_navalbuff	1
3c_rom_sanitation_CloacaMaxima	1
3c_rom_sanitation_ElKanat	1
3c_rom_security	1
3c_rom_spies	1
3c_rom_taxes	1
dk_ara_town_centre_caravanserai_5	1
dk_kush_religious_royal_5	1
dk_marib_dam	0
dk_num_religious_royal_5	1
dk_saba_religious_almaqah_5	1
inv_etr_minor	5
rom_City_Lot_Anti_Squalor	1
rom_City_Lot_Games	1
rom_City_Lot_Protection	1
rom_City_Lot_Public_Order	1
rom_City_Lot_Research	1
rom_Economic_Bronzeworking	1
rom_Economic_Ironworking	1
rom_Economic_Mint	1
rom_Economic_Primary_Food	1
rom_Economic_Primary_Public_Order	1
rom_Economic_Primary_Slave	1
rom_Economic_Primary_Trade	1
rom_Economic_Salt	1
rom_Economic_Secondary_Administration	1
rom_Economic_Secondary_Food_Cattle	1
rom_Economic_Secondary_Food_Farm	1
rom_Economic_Secondary_Growth	1
rom_Economic_Secondary_Research	1
rom_Economic_Secondary_Sanitation	1
rom_Economic_Secondary_Stables	1
rom_Economic_Secondary_Trade	1
rom_Economic_Storage	1
rom_Economic_Woodworking	1
rom_Governor	1
rom_Industry_Secondary_Mine	1
rom_Industry_Secondary_Quarry	1
rom_Military_Auxiliary	1
rom_Military_Buff_Acc_Aux	1
rom_Military_Buff_Att_Inf	1
rom_Military_Buff_Cav	1
rom_Military_Buff_Def_Inf	1
rom_Military_Buff_Ranged	1
rom_Military_Buff_Spear	1
rom_Military_Buff_Sword	1
rom_Military_Equipment_Armour	1
rom_Military_Equipment_Ranged	1
rom_Military_Equipment_Weapons	1
rom_Military_Main_Cavalry	1
rom_Military_Main_Heavy	1
rom_Military_Main_Other	1
rom_Port_Food	1
rom_Port_Ships	1
rom_Port_Small_Ships	1
rom_Port_Trade	1
rom_SettlementMinor	1
rom_Settlement_Major	1
rom_Stables_Exotic	1
rom_Stables_Heavy	1
rom_Stables_Light	1
rom_Temple_Administration	1
rom_Temple_Artisans	1
rom_Temple_Cavalry	1
rom_Temple_Farm	1
rom_Temple_Imperial_Cult	1
rom_Temple_Medicine	1
rom_Temple_Military_EQ	1
rom_Temple_Military_recruit	1
rom_Temple_Mining	1
rom_Temple_Naval	1
rom_Temple_Necropolis	1
rom_Temple_Ranged	1
rom_Temple_Research	1
rom_Temple_Trade	1
rom_Temple_War_Defence	1
rom_Temple_War_Offense	1
rom_Temple_Zoroastrian	1
