agent_key	manager_key	agent_manager_key
#campaign_ai_character_skill_tree_manager_agent_junctions_tables;0;db/campaign_ai_character_skill_tree_manager_agent_junctions_tables/campaign_ai_character_skill_tree_manager_agent_junctions		
general_skills_obsolete	ashigaru	general_ashigaru
general_skills_obsolete	default	default
general_skills_obsolete	horseman	general_horseman
general_skills_obsolete	ninja	general_ninja
age_champion_barbarian_british_skills	parent_army	parent_army
age_champion_barbarian_celtiberian_skills	parent_army	parent_army
age_champion_barbarian_celtic_skills	parent_army	parent_army
age_champion_barbarian_dacothracian_skills	parent_army	parent_army
age_champion_barbarian_east_skills	parent_army	parent_army
age_champion_barbarian_gaul_skills	parent_army	parent_army
age_champion_barbarian_germanic_skills	parent_army	parent_army
age_champion_barbarian_illyrian_skills	parent_army	parent_army
age_champion_barbarian_italic_skills	parent_army	parent_army
age_champion_barbarian_nuragic_skills	parent_army	parent_army
general_skills_obsolete	pirate	general_pirate
general_skills_obsolete	poet	general_poet
general_skills_obsolete	strategist	general_strategist
general_skills_obsolete	warrior	general_warrior
