key	building_path	display_building_key	is_slum	is_sieged	is_blockaded	state	destruction_additional_model	destruction_override_model	construction_additional_model	construction_override_model
#campaign_settlement_display_buildings_tables;1;db/campaign_settlement_display_buildings_tables/campaign_settlement_display_buildings										
10000	RigidModels\campaign\settlements\greek\slots\greek_temple_2.rigid_model_v2	rom_HELLENIC_temple_punic_BaalZephon_2	false	false	false					
10002	RigidModels\campaign\settlements\greek\slots\greek_temple_3.rigid_model_v2	rom_HELLENIC_temple_punic_BaalZephon_3	false	false	false					
10010	RigidModels\campaign\settlements\greek\slots\greek_temple_4.rigid_model_v2	rom_HELLENIC_temple_punic_BaalZephon_4	false	false	false					
10014	RigidModels\campaign\settlements\greek\slots\greek_temple_2.rigid_model_v2	rom_HELLENIC_temple_punic_Eshmun_2	false	false	false					
10023	RigidModels\campaign\settlements\greek\slots\greek_temple_3.rigid_model_v2	rom_HELLENIC_temple_punic_Eshmun_3	false	false	false					
10033	RigidModels\campaign\settlements\greek\slots\greek_temple_4.rigid_model_v2	rom_HELLENIC_temple_punic_Eshmun_4	false	false	false					
10040	RigidModels\campaign\settlements\greek\slots\greek_temple_2.rigid_model_v2	rom_HELLENIC_temple_punic_Kore_2	false	false	false					
10043	RigidModels\campaign\settlements\greek\slots\greek_temple_3.rigid_model_v2	rom_HELLENIC_temple_punic_Kore_3	false	false	false					
10048	RigidModels\campaign\settlements\greek\slots\greek_temple_4.rigid_model_v2	rom_HELLENIC_temple_punic_Kore_4	false	false	false					
10049	RigidModels\campaign\settlements\greek\slots\greek_temple_2.rigid_model_v2	rom_HELLENIC_temple_punic_Melqart_2	false	false	false					
10059	RigidModels\campaign\settlements\greek\slots\greek_temple_3.rigid_model_v2	rom_HELLENIC_temple_punic_Melqart_3	false	false	false					
10060	RigidModels\campaign\settlements\greek\slots\greek_temple_4.rigid_model_v2	rom_HELLENIC_temple_punic_Melqart_4	false	false	false					
10065	RigidModels\campaign\settlements\greek\slots\greek_temple_2.rigid_model_v2	rom_HELLENIC_temple_punic_Tanit_2	false	false	false					
1007	RigidModels\campaign\settlements\eastern\slots\eastern_city_minor_0.rigid_model_v2	rom_EASTERN_city_minor_limestone_1	false	false	false					
10071	RigidModels\campaign\settlements\greek\slots\greek_temple_3.rigid_model_v2	rom_HELLENIC_temple_punic_Tanit_3	false	false	false					
10078	RigidModels\campaign\settlements\greek\slots\greek_temple_4.rigid_model_v2	rom_HELLENIC_temple_punic_Tanit_4	false	false	false					
1008	RigidModels\campaign\settlements\eastern\slots\eastern_city_minor_1.rigid_model_v2	rom_EASTERN_city_minor_limestone_2	false	false	false					
10080	RigidModels\campaign\settlements\greek\slots\greek_temple_1.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_1	false	false	false					
10084	RigidModels\campaign\settlements\greek\slots\greek_temple_2.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_AmmonZeus_2	false	false	false					
10091	RigidModels\campaign\settlements\greek\slots\greek_temple_3.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_AmmonZeus_3	false	false	false					
10093	RigidModels\campaign\settlements\greek\slots\greek_temple_2.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_HathorMaat_2	false	false	false					
10100	RigidModels\campaign\settlements\greek\slots\greek_temple_3.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_HathorMaat_3	false	false	false					
10109	RigidModels\campaign\settlements\greek\slots\greek_temple_2.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_Horus_2	false	false	false					
10114	RigidModels\campaign\settlements\greek\slots\greek_temple_3.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_Horus_3	false	false	false					
10120	RigidModels\campaign\settlements\greek\slots\greek_temple_2.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_Imhotep_2	false	false	false					
10123	RigidModels\campaign\settlements\greek\slots\greek_temple_3.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_Imhotep_3	false	false	false					
10133	RigidModels\campaign\settlements\greek\slots\greek_temple_2.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_imperial_2	false	false	false					
10140	RigidModels\campaign\settlements\greek\slots\greek_temple_3.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_imperial_3	false	false	false					
10146	RigidModels\campaign\settlements\greek\slots\greek_temple_2.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_Isis_2	false	false	false					
10147	RigidModels\campaign\settlements\greek\slots\greek_temple_3.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_Isis_3	false	false	false					
10154	RigidModels\campaign\settlements\greek\slots\greek_temple_2.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_Serapis_2	false	false	false					
1016	RigidModels\campaign\settlements\eastern\slots\eastern_city_minor_2.rigid_model_v2	rom_EASTERN_city_minor_limestone_3	false	false	false					
10160	RigidModels\campaign\settlements\greek\slots\greek_temple_3.rigid_model_v2	rom_HELLENIC_temple_minor_ptolemaic_Serapis_3	false	false	false					
