child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position
#character_skill_node_links_tables;1;db/character_skill_node_links_tables/character_skill_node_links				
3c_general_admiral_2_inspiring_admiral	3c_general_admiral_1_navigator	0	0	0
3c_general_admiral_2_seasoned_marine	3c_general_admiral_1_navigator	0	0	0
3c_general_admiral_3_maritime_archer	3c_general_admiral_1_navigator	0	0	0
3c_general_admiral_3_naval_commander	3c_general_admiral_1_navigator	0	0	0
3c_general_admiral_4_naval_tactics	3c_general_admiral_1_navigator	0	0	0
3c_general_bureaucrat_2_agricultural_expert	3c_general_bureaucrat_1_law_keeper	0	0	0
3c_general_bureaucrat_2_talented_architect	3c_general_bureaucrat_1_law_keeper	0	0	0
3c_general_bureaucrat_3_industrial_manager	3c_general_bureaucrat_1_law_keeper	0	0	0
3c_general_bureaucrat_3_patron_of_arts	3c_general_bureaucrat_1_law_keeper	0	0	0
3c_general_bureaucrat_4_economic_administrator	3c_general_bureaucrat_1_law_keeper	0	0	0
3c_general_general_2_infantry_commander	3c_general_general_1_efficient_recruiter	0	0	0
3c_general_general_2_inspiring_general	3c_general_general_1_efficient_recruiter	0	0	0
3c_general_general_3_cavalry_commander	3c_general_general_1_efficient_recruiter	0	0	0
3c_general_general_3_marching_instructor	3c_general_general_1_efficient_recruiter	0	0	0
3c_general_general_4_military_administrator	3c_general_general_1_efficient_recruiter	0	0	0
3c_general_mastermind_2_covert_expert	3c_general_mastermind_1_strategist	0	0	0
3c_general_mastermind_2_mercenary_recruiter	3c_general_mastermind_1_strategist	0	0	0
3c_general_mastermind_3_artillery_master	3c_general_mastermind_1_strategist	0	0	0
3c_general_mastermind_3_skilled_logistician	3c_general_mastermind_1_strategist	0	0	0
3c_general_mastermind_4_siege_master	3c_general_mastermind_1_strategist	0	0	0
3c_general_soldier_2_master_defender	3c_general_soldier_1_master_attacker	0	0	0
3c_general_soldier_2_master_of_onslaught	3c_general_soldier_1_master_attacker	0	0	0
3c_general_soldier_3_leader_of_marskmen	3c_general_soldier_1_master_attacker	0	0	0
3c_general_soldier_3_vicious_despoiler	3c_general_soldier_1_master_attacker	0	0	0
3c_general_soldier_4_incarnation_of_dread	3c_general_soldier_1_master_attacker	0	0	0
agent_skills_champion_authority_2_unity	agent_skills_champion_authority_1_paragon	0	0	0
