name	effect
#battle_misc_effects_tables;0;db/battle_misc_effects_tables/battle_misc_effects	
dismemberment_effect	blood_parts_v1
door_smash	
fuse	
incendiary_smoke	naval_vfx_damage_smoke
offfield_bombardment	
quicklime	
splash_large	
splash_medium	
splash_small	
ui_bastion_marker	ui_vfx_artillery_marker
ui_capture_point_captured	ui_vfx_capture_point_captured
ui_capture_point_capturing	ui_vfx_capture_point_capturing
ui_capture_point_losing	ui_vfx_capture_point_losing
ui_capture_point_lost	ui_vfx_capture_point_lost
ui_disembark_marker	ui_vfx_disembark_marker
ui_general_mouse_over	ui_vfx_mouse_over_glow
ui_general_selection	ui_vfx_selection_glow
ui_heavy_mouse_over	ui_vfx_mouse_over_glow
ui_heavy_selection	ui_vfx_selection_glow
ui_hidden_units	ui_vfx_hidden
ui_light_mouse_over	ui_vfx_mouse_over_glow
ui_light_selection	ui_vfx_selection_glow
ui_medium_mouse_over	ui_vfx_mouse_over_glow
ui_medium_selection	ui_vfx_selection_glow
ui_objectives_marker	ui_vfx_objectives_marker
unit_lantern	
window_smash	
