id	incident_key	option_key	value
#cdir_events_incident_option_junctions_tables;1;db/cdir_events_incident_option_junctions_tables/cdir_events_incident_option_junctions			
0	setback_lost	CND_CAMPAIGN	main_rome
1015	incident_hellenic_resistance_to_hegemony	GEN_CND_REGION	rom_hellas_attiki
1023	incident_hellenic_resistance_to_hegemony	GEN_CND_REGION	rom_hellas_creta
1033	incident_hellenic_resistance_to_hegemony	GEN_CND_REGION	rom_hellas_peloponnesos
1036	incident_hellenic_resistance_to_hegemony	GEN_CND_REGION	rom_macedonia_epeiros
1041	incident_hellenic_resistance_to_hegemony	GEN_CND_REGION	rom_macedonia_makedonia
1049	incident_hellenic_resistance_to_hegemony	GEN_CND_REGION	rom_macedonia_thessalia
105	disaster_earthquake	CND_CAMPAIGN	main_rome
1055	incident_hellenic_resistance_to_hegemony	GEN_CND_REGION	rom_religion_hellenic
10649	gaul_adopt_marc_antony	CND_CAMPAIGN	main_gaul
10652	gaul_adopt_marc_antony	CND_UNIQUE	
10659	gaul_adopt_marc_antony	GEN_TARGET_NONE	
10666	gaul_adopt_marc_antony	CND_TECHNOLOGY_RESEARCHED	rom_dlc_gaul_roman_politics_0_adopt_marc_antony
10669	gaul_adopt_marc_antony	VAR_CHANCE	100
10683	gaul_adopt_marc_antony	CND_RANDOM	100
10690	disaster_earthquake	CND_CAMPAIGN	main_punic
