budget_key	template_key	is_defender	general_pct	priority	units_pct	upgrade_pct	config_key
#mp_force_gen_template_junctions_tables;3;db/mp_force_gen_template_junctions_tables/mp_force_gen_template_junctions							
ambush_custom	default	false	0.0500	1	0.9485	0.0005	mp_land_attack_generic
ambush_custom	default	true	0.0500	1	0.9485	0.0005	mp_land_defense_generic
ambush_huge	default	false	0.0500	1	0.9485	0.0005	mp_land_attack_generic
ambush_huge	default	true	0.0500	1	0.9485	0.0005	mp_land_defense_generic
ambush_large	default	false	0.0500	1	0.9485	0.0005	mp_land_attack_generic
ambush_large	default	true	0.0500	1	0.9485	0.0005	mp_land_defense_generic
ambush_medium	default	false	0.0500	1	0.9485	0.0005	mp_land_attack_generic
ambush_medium	default	true	0.0500	1	0.9485	0.0005	mp_land_defense_generic
ambush_small	default	false	0.0500	1	0.9485	0.0005	mp_land_attack_generic
ambush_small	default	true	0.0500	1	0.9485	0.0005	mp_land_defense_generic
city_custom	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
city_custom	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
city_huge	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
city_huge	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
city_large	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
city_large	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
city_medium	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
city_medium	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
city_small	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
city_small	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
coastal_custom	default	false	0.0500	1	0.9485	0.0005	mp_coastal_attack_generic
coastal_custom	default	true	0.0500	1	0.9485	0.0005	mp_coastal_defense_generic
coastal_huge	default	false	0.0500	1	0.9485	0.0005	mp_coastal_attack_generic
coastal_huge	default	true	0.0500	1	0.9485	0.0005	mp_coastal_defense_generic
coastal_large	default	false	0.0500	1	0.9485	0.0005	mp_coastal_attack_generic
coastal_large	default	true	0.0500	1	0.9485	0.0005	mp_coastal_defense_generic
coastal_medium	default	false	0.0500	1	0.9485	0.0005	mp_coastal_attack_generic
coastal_medium	default	true	0.0500	1	0.9485	0.0005	mp_coastal_defense_generic
coastal_small	default	false	0.0500	1	0.9485	0.0005	mp_coastal_attack_generic
coastal_small	default	true	0.0500	1	0.9485	0.0005	mp_coastal_defense_generic
land_custom	default	false	0.0500	1	0.9485	0.0005	mp_land_attack_generic
land_custom	default	true	0.0500	1	0.9485	0.0005	mp_land_defense_generic
land_huge	default	false	0.0500	1	0.9485	0.0005	mp_land_attack_generic
land_huge	default	true	0.0500	1	0.9485	0.0005	mp_land_defense_generic
land_large	default	false	0.0500	1	0.9485	0.0005	mp_land_attack_generic
land_large	default	true	0.0500	1	0.9485	0.0005	mp_land_defense_generic
land_medium	default	false	0.0500	1	0.9485	0.0005	mp_land_attack_generic
land_medium	default	true	0.0500	1	0.9485	0.0005	mp_land_defense_generic
land_small	default	false	0.0500	1	0.9485	0.0005	mp_land_attack_generic
land_small	default	true	0.0500	1	0.9485	0.0005	mp_land_defense_generic
naval_custom	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
naval_custom	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
naval_huge	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
naval_huge	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
naval_large	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
naval_large	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
naval_medium	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
naval_medium	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
naval_small	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
naval_small	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
port_custom	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
port_custom	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
port_huge	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
port_huge	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
port_large	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
port_large	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
port_medium	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
port_medium	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
port_small	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
port_small	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
river_crossing_custom	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
river_crossing_custom	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
river_crossing_huge	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
river_crossing_huge	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
river_crossing_large	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
river_crossing_large	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
river_crossing_medium	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
river_crossing_medium	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
river_crossing_small	default	false	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
river_crossing_small	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
unfortified_port_custom	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
unfortified_port_custom	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
unfortified_port_huge	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
unfortified_port_huge	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
unfortified_port_large	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
unfortified_port_large	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
unfortified_port_medium	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
unfortified_port_medium	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
unfortified_port_small	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
unfortified_port_small	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
unfortified_town_custom	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
unfortified_town_custom	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
unfortified_town_huge	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
unfortified_town_huge	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
unfortified_town_large	default	false	0.0500	1	0.9485	0.0005	mp_siege_attack_generic
unfortified_town_large	default	true	0.0500	1	0.9485	0.0005	mp_siege_defence_generic
