key	advice_level_lookup	persistant	show_instant	show_on_navigate	is_header	navigation_order
#advice_info_texts_tables;2;db/advice_info_texts_tables/advice_info_texts						
CiG.Excerpt.Character.Ariovistus.Info	2139663612	false	false	true	false	0
CiG.Excerpt.Character.Boduognatus.Info	2139663619	false	false	true	false	0
CiG.Excerpt.Character.Caesar.Info	2139663623	false	false	true	false	0
CiG.Excerpt.Character.Vercingetorix.Info	2139663629	false	false	true	false	0
CiG.Excerpt.Faction.gaul_aedui.Info	2139663635	false	false	true	false	0
CiG.Excerpt.Faction.gaul_allobroges.Info	2139663640	false	false	true	false	0
CiG.Excerpt.Faction.gaul_arverni.Info	2139663642	false	false	true	false	0
CiG.Excerpt.Faction.gaul_belgae.Info	2139663643	false	false	true	false	0
CiG.Excerpt.Faction.gaul_bellovaci.Info	2139663647	false	false	true	false	0
CiG.Excerpt.Faction.gaul_cantiaci.Info	2139663648	false	false	true	false	0
CiG.Excerpt.Faction.gaul_helvetii.Info	2139663655	false	false	true	false	0
CiG.Excerpt.Faction.gaul_mandubii.Info	2139663657	false	false	true	false	0
CiG.Excerpt.Faction.gaul_morini.Info	2139663661	false	false	true	false	0
CiG.Excerpt.Faction.gaul_nervii.Info	2139663667	false	false	true	false	0
CiG.Excerpt.Faction.gaul_osismii.Info	2139663672	false	false	true	false	0
CiG.Excerpt.Faction.gaul_pictones.Info	2139663681	false	false	true	false	0
CiG.Excerpt.Faction.gaul_redones.Info	2139663683	false	false	true	false	0
CiG.Excerpt.Faction.gaul_remi.Info	2139663687	false	false	true	false	0
CiG.Excerpt.Faction.gaul_rome.Info	2139663690	false	false	true	false	0
CiG.Excerpt.Faction.gaul_ruteni.Info	2139663693	false	false	true	false	0
CiG.Excerpt.Faction.gaul_sequani.Info	2139663699	false	false	true	false	0
CiG.Excerpt.Faction.gaul_sotiates.Info	2139663709	false	false	true	false	0
CiG.Excerpt.Faction.gaul_suebi.Info	2139663712	false	false	true	false	0
