key	arrival_message	campaign_subject_key	departure_message	effect_bundle_key	flavour_text	max_turns	min_turns	weighting
#campaign_subject_evolutions_tables;0;db/campaign_subject_evolutions_tables/campaign_subject_evolutions								
barb_hostile_dispute		barb_hostile_dispute	barb_hostile_dispute_leave	rom_subject_infamy	barb_hostile_dispute	10	5	1.0000
barb_hostile_governor		barb_hostile_governor	barb_hostile_governor_leave	rom_subject_infamy	barb_hostile_governor	10	5	1.0000
barb_my_sword		barb_my_sword	barb_my_sword_leave	rom_subject_infamy	barb_my_sword	10	5	1.0000
barb_secret_meetings		barb_secret_meetings	barb_secret_meetings_leave	rom_subject_infamy	barb_secret_meetings	10	5	1.0000
barb_trading_enemy		barb_trading_enemy	barb_trading_enemy_leave	rom_subject_infamy	barb_trading_enemy	10	5	1.0000
barb_tribal_loyalty		barb_tribal_loyalty	barb_tribal_loyalty_leave	rom_subject_infamy	barb_tribal_loyalty	10	5	1.0000
barb_young_challenger		barb_young_challenger	barb_young_challenger_leave	rom_subject_infamy	barb_young_challenger	10	5	1.0000
eas_agrarian_agitator		eas_agrarian_agitator	civ_agrarian_agitator_leave	rom_subject_infamy	civ_agrarian_agitator	10	5	1.0000
eas_hostile_dispute		eas_hostile_dispute	civ_hostile_dispute_leave	rom_subject_infamy	civ_hostile_dispute	10	5	1.0000
eas_hostile_governor		eas_hostile_governor	civ_hostile_governor_leave	rom_subject_infamy	civ_hostile_governor	10	5	1.0000
eas_secret_meetings		eas_secret_meetings	civ_secret_meetings_leave	rom_subject_infamy	civ_secret_meetings	10	5	1.0000
eas_temple_sacrilege		eas_temple_sacrilege	civ_temple_sacriledge_leave	rom_subject_infamy	civ_temple_sacriledge	10	5	1.0000
eas_young_challenger		eas_young_challenger	civ_young_challenger_leave	rom_subject_infamy	civ_young_challenger	10	5	1.0000
gre_agrarian_agitator		gre_agrarian_agitator	civ_agrarian_agitator_leave	rom_subject_infamy	civ_agrarian_agitator	10	5	1.0000
gre_hostile_dispute		gre_hostile_dispute	civ_hostile_dispute_leave	rom_subject_infamy	civ_hostile_dispute	10	5	1.0000
gre_hostile_governor		gre_hostile_governor	civ_hostile_governor_leave	rom_subject_infamy	civ_hostile_governor	10	5	1.0000
gre_secret_meetings		gre_secret_meetings	civ_secret_meetings_leave	rom_subject_infamy	civ_secret_meetings	10	5	1.0000
gre_temple_sacrilege		gre_temple_sacrilege	civ_temple_sacriledge_leave	rom_subject_infamy	civ_temple_sacriledge	10	5	1.0000
gre_young_challenger		gre_young_challenger	civ_young_challenger_leave	rom_subject_infamy	civ_young_challenger	10	5	1.0000
rom_agrarian_agitator		rom_agrarian_agitator	civ_agrarian_agitator_leave	rom_subject_infamy	civ_agrarian_agitator	10	5	1.0000
