component_id	event_id	falloff	value
#cai_personality_diplomatic_event_values_tables;0;db/cai_personality_diplomatic_event_values_tables/cai_personality_diplomatic_event_values			
default	BATTLE_ALLY_SUPPORT_REFUSED	40	-10.0000
default	BATTLE_ATTACK	40	-10.0000
default	BATTLE_SUPPORT	40	10.0000
default	CITY_BESIEGED	40	-10.0000
default	CITY_LOOTED	40	-15.0000
default	CITY_OCCUPIED	40	0.0000
default	CITY_RAZED	40	-40.0000
default	CITY_SACKED	40	-25.0000
default	CLIENT_STATE	40	10.0000
default	CLIENT_STATE_BROKEN	40	-35.0000
default	DEFENSIVE_ALLIANCE	40	15.0000
default	DEFENSIVE_ALLIANCE_BROKEN	40	-40.0000
default	DEFENSIVE_ALLIANCE_PAST	40	20.0000
default	DIPLOMATIC_MARRIAGE	40	30.0000
default	DIPLOMAT_CRITICAL_FAILURE	25	-20.0000
default	DIPLOMAT_CRITICAL_SUCCESS	25	30.0000
default	DIPLOMAT_FAILURE	25	-5.0000
default	DIPLOMAT_SUCCESS	25	20.0000
default	DIVORCE	55	-30.0000
default	FACTION_KILLED	40	-60.0000
default	FACTION_LIBERATED	40	100.0000
default	HOSTILE_AGENT_ACTION	40	-10.0000
default	JOINED_CONFEDERATION	40	60.0000
default	MILITARY_ACCESS	40	10.0000
default	MILITARY_ACCESS_BROKEN	40	-25.0000
default	MILITARY_ACCESS_DISSOLVED	40	0.0000
default	MILITARY_ALLIANCE	40	15.0000
default	MILITARY_ALLIANCE_BROKEN	40	-50.0000
default	MILITARY_ALLIANCE_PAST	40	30.0000
default	NON_AGGRESSION_PACT	40	15.0000
default	NON_AGGRESSION_PACT_BROKEN	40	-30.0000
default	NON_AGGRESSION_PACT_PAST	40	10.0000
default	PEACE	40	10.0000
default	RAIDING	40	-5.0000
default	STATE_GIFT_ACCEPTED	40	0.0000
default	STATE_GIFT_LARGE	60	60.0000
default	STATE_GIFT_MEDIUM	40	40.0000
default	STATE_GIFT_REFUSED	40	-10.0000
default	STATE_GIFT_SMALL	25	15.0000
default	TRADE_AGREEMENT	40	10.0000
default	TRADE_AGREEMENT_BROKEN	40	-30.0000
default	TRADE_AGREEMENT_DISSOLVED	40	0.0000
default	TRADE_AGREEMENT_PAST	40	10.0000
default	TRESSPASSING	20	-25.0000
default	TROOPS_ENSLAVED	40	-10.0000
default	TROOPS_EXECUTED	40	-20.0000
default	TROOPS_RELEASED	40	5.0000
default	VASSALAGE	40	10.0000
default	VASSALAGE_BROKEN	40	-40.0000
default	VASSALAGE_CANCELLED	40	-20.0000
default	VASSALAGE_FORCED	40	-10.0000
default	WAR	40	-30.0000
default	WAR_PAST	40	-50.0000
diplomat	BATTLE_ALLY_SUPPORT_REFUSED	40	-10.0000
diplomat	BATTLE_ATTACK	40	-10.0000
diplomat	BATTLE_SUPPORT	40	10.0000
diplomat	CITY_BESIEGED	40	-10.0000
diplomat	CITY_LOOTED	40	-15.0000
diplomat	CITY_OCCUPIED	40	0.0000
diplomat	CITY_RAZED	40	-40.0000
diplomat	CITY_SACKED	40	-25.0000
diplomat	CLIENT_STATE	40	10.0000
diplomat	CLIENT_STATE_BROKEN	40	-35.0000
diplomat	DEFENSIVE_ALLIANCE	40	15.0000
diplomat	DEFENSIVE_ALLIANCE_BROKEN	40	-50.0000
diplomat	DEFENSIVE_ALLIANCE_PAST	40	30.0000
diplomat	DIPLOMATIC_MARRIAGE	40	40.0000
diplomat	DIPLOMAT_CRITICAL_FAILURE	25	-20.0000
diplomat	DIPLOMAT_CRITICAL_SUCCESS	25	30.0000
diplomat	DIPLOMAT_FAILURE	25	-5.0000
diplomat	DIPLOMAT_SUCCESS	25	20.0000
diplomat	DIVORCE	40	-30.0000
diplomat	FACTION_KILLED	40	-60.0000
diplomat	FACTION_LIBERATED	40	100.0000
diplomat	HOSTILE_AGENT_ACTION	40	-10.0000
diplomat	JOINED_CONFEDERATION	40	60.0000
diplomat	MILITARY_ACCESS	40	10.0000
diplomat	MILITARY_ACCESS_BROKEN	40	-25.0000
diplomat	MILITARY_ACCESS_DISSOLVED	40	0.0000
diplomat	MILITARY_ALLIANCE	40	15.0000
diplomat	MILITARY_ALLIANCE_BROKEN	40	-50.0000
diplomat	MILITARY_ALLIANCE_PAST	40	45.0000
diplomat	NON_AGGRESSION_PACT	40	15.0000
diplomat	NON_AGGRESSION_PACT_BROKEN	40	-40.0000
diplomat	NON_AGGRESSION_PACT_PAST	40	15.0000
diplomat	PEACE	40	20.0000
diplomat	RAIDING	40	-5.0000
diplomat	STATE_GIFT_ACCEPTED	40	0.0000
diplomat	STATE_GIFT_LARGE	60	60.0000
diplomat	STATE_GIFT_MEDIUM	40	40.0000
diplomat	STATE_GIFT_REFUSED	40	-10.0000
diplomat	STATE_GIFT_SMALL	25	15.0000
diplomat	TRADE_AGREEMENT	40	10.0000
diplomat	TRADE_AGREEMENT_BROKEN	40	-40.0000
diplomat	TRADE_AGREEMENT_DISSOLVED	40	0.0000
diplomat	TRADE_AGREEMENT_PAST	40	15.0000
diplomat	TRESSPASSING	20	-25.0000
diplomat	TROOPS_ENSLAVED	40	-10.0000
diplomat	TROOPS_EXECUTED	40	-20.0000
diplomat	TROOPS_RELEASED	40	5.0000
diplomat	VASSALAGE	40	10.0000
diplomat	VASSALAGE_BROKEN	40	-50.0000
diplomat	VASSALAGE_CANCELLED	40	-30.0000
diplomat	VASSALAGE_FORCED	40	-10.0000
diplomat	WAR	40	-30.0000
diplomat	WAR_PAST	40	-60.0000
historian	BATTLE_ALLY_SUPPORT_REFUSED	55	-10.0000
historian	BATTLE_ATTACK	55	-10.0000
historian	BATTLE_SUPPORT	55	10.0000
historian	CITY_BESIEGED	55	-10.0000
historian	CITY_LOOTED	55	-15.0000
historian	CITY_OCCUPIED	55	0.0000
historian	CITY_RAZED	55	-40.0000
historian	CITY_SACKED	55	-25.0000
historian	CLIENT_STATE	55	10.0000
