faction_key	unit_key
#faction_rebellion_units_junctions_tables;0;db/faction_rebellion_units_junctions_tables/faction_rebellion_units_junctions	
3c_alani	3c_Ala_Steppe_Cavalry
3c_alani	3c_Ste_Sarmatian_Horse_Archers
3c_alani	3c_Ste_Sarmatian_Light_Cavalry
3c_alani	3c_Ste_Steppe_Nobles
3c_alani	3c_Ste_Steppe_Slingers
3c_alani	3c_Ste_Steppe_Spearmen
3c_alani	3c_Ste_Steppe_Warriors
3c_armenia	3c_Eas_Eastern_Armoured_Cavalry
3c_armenia	3c_Eas_Eastern_Axe_Warriors
3c_armenia	3c_Eas_Eastern_Bowmen
3c_armenia	3c_Eas_Eastern_Cataphracts
3c_armenia	3c_Eas_Eastern_Cavalry
3c_armenia	3c_Eas_Eastern_Horse_Archers
3c_armenia	3c_Eas_Eastern_Horse_Skirmishers
3c_armenia	3c_Eas_Eastern_Infantry
3c_armenia	3c_Eas_Eastern_Javelinmen
3c_armenia	3c_Eas_Eastern_Nobles
3c_armenia	3c_Eas_Eastern_Pikemen
3c_armenia	3c_Eas_Eastern_Slingers
3c_armenia	3c_Eas_Eastern_Spearmen
3c_armenia	3c_Eas_Hillmen
3c_armenia	3c_Eas_Noble_Spearmen
3c_caledoni	3c_Cel_Celtic_Archers
3c_caledoni	3c_Cel_Celtic_Horse_Skirmishers
3c_caledoni	3c_Cel_Celtic_Horsemen
3c_caledoni	3c_Cel_Celtic_Levy
3c_caledoni	3c_Cel_Celtic_Nobles
3c_caledoni	3c_Cel_Celtic_Skirmishers
3c_caledoni	3c_Cel_Celtic_Spearmen
3c_caledoni	3c_Cel_Celtic_Sword_Band
3c_caledoni	3c_Cel_Celtic_Swordsmen
3c_caledoni	3c_Cel_Celtic_Warhounds
3c_caledoni	3c_Cel_Chariots
3c_caledoni	3c_Cel_Chosen_Sword_Band
3c_caledoni	3c_Cel_Painted_Warriors
3c_egypt	3c_Rom_Armoured_Archers
3c_egypt	3c_Rom_Cohors
3c_egypt	3c_Rom_Equites
3c_egypt	3c_Rom_Evocati_Cohort
3c_egypt	3c_Rom_Horse_Archers
3c_egypt	3c_Rom_Light_Roman_Skirmishers
3c_egypt	3c_Rom_Pikemen
3c_egypt	3c_Rom_Roman_Legionaries
3c_egypt	3c_Rom_Roman_Legionary_Cavalry
3c_egypt	3c_Rom_Roman_Levies
3c_egypt	3c_Rom_Slingers
3c_egypt	3c_Rom_Vigiles
3c_egypt	3c_Rom_War_Dogs
