path_key	technology_key	priority
#campaign_ai_technology_path_junctions_tables;0;db/campaign_ai_technology_path_junctions_tables/campaign_ai_technology_path_junctions		
gaul_blue_basic	rom_dlc_gaul_celtic_politics_0_supply_foraging	1
gaul_blue_basic	rom_dlc_gaul_roman_politics_0_adopt_marc_antony	1
gaul_blue_military_early	rom_dlc_gaul_celtic_politics_aristocracy_1_emergency_measures	1
gaul_blue_military_early	rom_dlc_gaul_celtic_politics_aristocracy_1_war_horn	1
gaul_blue_military_early	rom_dlc_gaul_roman_politics_caesar_1_appoint_legates	1
gaul_blue_military_early	rom_dlc_gaul_roman_politics_caesar_1_befriend_gallic_chieftains	1
gaul_blue_military_early	rom_dlc_gaul_roman_politics_caesar_1_mobilise_troops	1
gaul_blue_military_last	rom_dlc_gaul_celtic_politics_aristocracy_3_council_of_chieftains	1
gaul_blue_military_last	rom_dlc_gaul_celtic_politics_aristocracy_3_war_chiefs	1
gaul_blue_military_last	rom_dlc_gaul_roman_politics_caesar_3_bribe_gaius_scribonius_curio	1
gaul_blue_military_last	rom_dlc_gaul_roman_politics_caesar_3_elite_legionary_equipment	1
gaul_blue_military_last	rom_dlc_gaul_roman_politics_caesar_3_honour_the_brave	1
gaul_blue_military_late	rom_dlc_gaul_celtic_politics_aristocracy_2_servants_of_the_elite	1
gaul_blue_military_late	rom_dlc_gaul_celtic_politics_aristocracy_2_trimarcisa	1
gaul_blue_military_late	rom_dlc_gaul_celtic_politics_aristocracy_2_warrior_aristocracy	1
gaul_blue_military_late	rom_dlc_gaul_roman_politics_caesar_2_ciceros_support	1
gaul_blue_military_late	rom_dlc_gaul_roman_politics_caesar_2_prolong_imperium	1
gaul_blue_military_late	rom_dlc_gaul_roman_politics_caesar_2_trade_concession_olives	1
gaul_blue_mixed_early	rom_dlc_gaul_celtic_politics_druids_1_celtic_calendar	1
gaul_blue_mixed_early	rom_dlc_gaul_celtic_politics_druids_1_knowldege_of_the_oak	1
gaul_blue_mixed_early	rom_dlc_gaul_celtic_politics_druids_1_sacred_grove	1
gaul_blue_mixed_early	rom_dlc_gaul_germanic_politics_elders_1_animal_sacrifice	1
gaul_blue_mixed_early	rom_dlc_gaul_roman_politics_crassus_1_promote_crassus	1
gaul_blue_mixed_early	rom_dlc_gaul_roman_politics_crassus_1_repay_debts	1
gaul_blue_mixed_early	rom_dlc_gaul_roman_politics_crassus_1_trade_concession_silk	1
gaul_blue_mixed_last	rom_dlc_gaul_celtic_politics_druids_3_druidic_doctrine	1
gaul_blue_mixed_last	rom_dlc_gaul_celtic_politics_druids_3_druidic_judgement	1
gaul_blue_mixed_last	rom_dlc_gaul_celtic_politics_druids_3_stargazing	1
gaul_blue_mixed_last	rom_dlc_gaul_germanic_politics_elders_3_council_of_elders	1
gaul_blue_mixed_last	rom_dlc_gaul_germanic_politics_elders_3_ritual_chariot	1
gaul_blue_mixed_last	rom_dlc_gaul_roman_politics_crassus_3_support_parthian_campaign	1
gaul_blue_mixed_last	rom_dlc_gaul_roman_politics_crassus_3_support_syrian_claim	1
gaul_blue_mixed_late	rom_dlc_gaul_celtic_politics_druids_2_lode_stone	1
gaul_blue_mixed_late	rom_dlc_gaul_celtic_politics_druids_2_ritual_of_the_stones	1
gaul_blue_mixed_late	rom_dlc_gaul_celtic_politics_druids_2_temple_of_the_oak	1
gaul_blue_mixed_late	rom_dlc_gaul_germanic_politics_elders_2_human_sacrifice	1
gaul_blue_mixed_late	rom_dlc_gaul_roman_politics_crassus_2_influence_senators	1
gaul_blue_mixed_late	rom_dlc_gaul_roman_politics_crassus_2_secure_election	1
gaul_blue_settlement_early	rom_dlc_gaul_celtic_politics_people_1_enclosed_settlement	1
gaul_blue_settlement_early	rom_dlc_gaul_celtic_politics_people_1_tribal_totem	1
gaul_blue_settlement_early	rom_dlc_gaul_celtic_politics_people_1_war_dace	1
gaul_blue_settlement_early	rom_dlc_gaul_roman_politics_pompey_1_marriage_with_julia	1
gaul_blue_settlement_early	rom_dlc_gaul_roman_politics_pompey_1_promote_spanish_claim	1
gaul_blue_settlement_early	rom_dlc_gaul_roman_politics_pompey_1_trade_concession_marble	1
gaul_blue_settlement_last	rom_dlc_gaul_celtic_politics_people_3_confederation	1
gaul_blue_settlement_last	rom_dlc_gaul_celtic_politics_people_3_great_food_vault	1
gaul_blue_settlement_last	rom_dlc_gaul_celtic_politics_people_3_tribal_cooperation	1
gaul_blue_settlement_last	rom_dlc_gaul_roman_politics_pompey_3_basilica_julia	1
gaul_blue_settlement_last	rom_dlc_gaul_roman_politics_pompey_3_return_legion	1
gaul_blue_settlement_late	rom_dlc_gaul_celtic_politics_people_2_battle_fury	1
gaul_blue_settlement_late	rom_dlc_gaul_celtic_politics_people_2_cultural_identity	1
gaul_blue_settlement_late	rom_dlc_gaul_celtic_politics_people_2_grain_kiln	1
gaul_blue_settlement_late	rom_dlc_gaul_roman_politics_pompey_2_banquet_for_julia	1
gaul_blue_settlement_late	rom_dlc_gaul_roman_politics_pompey_2_gladiatorial_games	1
gaul_red_basic	rom_baktria_civil_agriculture_perennial_irrigation	1
gaul_red_culture_early	rom_dlc_gaul_development_culture_1_field_surgery	1
gaul_red_culture_early	rom_dlc_gaul_development_culture_1_land_and_community_laws	1
gaul_red_culture_early	rom_dlc_gaul_development_culture_1_multilingual	1
gaul_red_culture_early	rom_dlc_gaul_development_culture_2_common_weights_and_measures	1
gaul_red_infrastructure_early	rom_dlc_gaul_development_infrastructure_1_advanced_construction_techniques	1
gaul_red_infrastructure_early	rom_dlc_gaul_development_infrastructure_1_set_prices	1
gaul_red_infrastructure_early	rom_dlc_gaul_development_infrastructure_1_tax_labour	1
gaul_red_infrastructure_early	rom_dlc_gaul_development_infrastructure_2_perennial_irrigation	1
gaul_red_infrastructure_last	rom_dlc_gaul_development_culture_3_hippocratic_oath	1
gaul_red_infrastructure_last	rom_dlc_gaul_development_culture_3_legal_institutions	1
gaul_red_infrastructure_last	rom_dlc_gaul_development_infrastructure_3_crane_mechanics	1
gaul_red_infrastructure_last	rom_dlc_gaul_development_infrastructure_3_moulded_architecture	1
gaul_red_infrastructure_late	rom_dlc_gaul_development_culture_2_common_currency	1
gaul_red_infrastructure_late	rom_dlc_gaul_development_culture_2_denominational_system	1
gaul_red_infrastructure_late	rom_dlc_gaul_development_culture_3_legal_documentation	1
gaul_red_infrastructure_late	rom_dlc_gaul_development_infrastructure_2_economic_archive	1
gaul_red_infrastructure_late	rom_dlc_gaul_development_infrastructure_2_production_lines	1
gaul_red_infrastructure_late	rom_dlc_gaul_development_infrastructure_3_fired_brick	1
gaul_red_military_early	rom_dlc_gaul_development_military_1_mercenary_auxiliaries	1
gaul_red_military_early	rom_dlc_gaul_development_military_1_physical_conditioning	1
gaul_red_military_early	rom_dlc_gaul_development_military_2_engineering	1
gaul_red_military_last	rom_dlc_gaul_development_military_3_professional_soldiery	1
gaul_red_military_last	rom_dlc_gaul_development_military_3_siege_tower	1
gaul_red_military_late	rom_dlc_gaul_development_military_2_strategic_manoeuvres	1
gaul_red_military_late	rom_dlc_gaul_development_military_2_tactical_drills	1
gaul_red_military_late	rom_dlc_gaul_development_military_3_torsion_techniques	1
inv_civil_buildings_late	3c_alani_civil_culture_uphold_the_old_ways	1
inv_civil_buildings_late	3c_alani_civil_governance_introduce_steppe_laws	1
inv_civil_buildings_late	3c_alani_civil_governance_proclaim_legendary_kingdom	1
inv_civil_buildings_late	3c_armenia_civil_culture_promote_religious_tolerance	1
inv_civil_buildings_late	3c_armenia_civil_culture_recall_ancient_rites	1
inv_civil_buildings_late	3c_armenia_civil_governance_complie_code_laws	1
inv_civil_buildings_late	3c_armenia_civil_governance_control_urban_development	1
inv_civil_buildings_late	3c_armenia_civil_governance_demand_zealous_labour	1
inv_civil_buildings_late	3c_armenia_civil_governance_establish_vigorous_administration	1
inv_civil_buildings_late	3c_armenia_civil_governance_extend_peasant_class_rights	1
inv_civil_buildings_late	3c_armenia_civil_governance_glorify_illoustrous_lineage	1
inv_civil_buildings_late	3c_armenia_civil_governance_proclaim_grand_armenia	1
inv_civil_buildings_late	3c_armenia_civil_governance_promote_trusted_councillors	1
inv_civil_buildings_late	3c_gallicemp_civil_culture_celebrate_roman_heritage	1
inv_civil_buildings_late	3c_gallicemp_civil_culture_conduct_latinization_campaign	1
inv_civil_buildings_late	3c_gallicemp_civil_governance_reinstitute_the_republic	1
inv_civil_buildings_late	3c_gothi_civil_culture_organize_fairs	1
inv_civil_buildings_late	3c_gothi_civil_culture_uphold_the_old_ways	1
inv_civil_buildings_late	3c_gothi_civil_governance_appoint_lawgivers	1
inv_civil_buildings_late	3c_gothi_civil_governance_command_hygiene	1
inv_civil_buildings_late	3c_gothi_civil_governance_demand_oaths_of_fealty	1
inv_civil_buildings_late	3c_gothi_civil_governance_gain_recognition	1
inv_civil_buildings_late	3c_gothi_civil_governance_improve_housing	1
