id	mission_key	payload_key	status_key	value
#cdir_events_mission_payloads_tables;1;db/cdir_events_mission_payloads_tables/cdir_events_mission_payloads				
1005	diplomatic_egy_attack_settlement_landlocked_2	TREASURY	SUCCESS	AMOUNT[500]
1010	diplomatic_egy_attack_settlement_landlocked_3	TREASURY	SUCCESS	AMOUNT[500]
1017	diplomatic_egy_attack_settlement_port_1	TREASURY	SUCCESS	AMOUNT[500]
102	senate_par_recruit_dignitary	rom_payload_agent_dignitary_success	SUCCESS	DURATION[6];GLOBAL
1025	diplomatic_egy_attack_settlement_port_2	TREASURY	SUCCESS	AMOUNT[500]
1029	diplomatic_egy_attack_settlement_port_3	TREASURY	SUCCESS	AMOUNT[500]
1030	diplomatic_egy_attack_trade_route_raider_1	TREASURY	SUCCESS	AMOUNT[500]
1035	diplomatic_egy_attack_trade_route_raider_2	TREASURY	SUCCESS	AMOUNT[500]
1045	diplomatic_egy_kill_character_female_1	TREASURY	SUCCESS	AMOUNT[500]
1053	diplomatic_egy_kill_character_female_2	TREASURY	SUCCESS	AMOUNT[500]
1054	diplomatic_egy_kill_character_female_3	TREASURY	SUCCESS	AMOUNT[500]
1057	diplomatic_egy_kill_character_male_1	TREASURY	SUCCESS	AMOUNT[500]
1060	diplomatic_egy_kill_character_male_2	TREASURY	SUCCESS	AMOUNT[500]
1067	diplomatic_egy_kill_character_male_3	TREASURY	SUCCESS	AMOUNT[500]
1073	diplomatic_egy_raid_trade_route_faction_1	TREASURY	SUCCESS	AMOUNT[500]
1080	diplomatic_egy_raid_trade_route_faction_2	TREASURY	SUCCESS	AMOUNT[500]
1085	diplomatic_egy_raid_trade_route_province_1	TREASURY	SUCCESS	AMOUNT[500]
1086	diplomatic_egy_raid_trade_route_province_2	TREASURY	SUCCESS	AMOUNT[500]
1089	diplomatic_hel_attack_army_1	TREASURY	SUCCESS	AMOUNT[500]
1091	diplomatic_hel_attack_army_2	TREASURY	SUCCESS	AMOUNT[500]
1095	diplomatic_hel_attack_army_3	TREASURY	SUCCESS	AMOUNT[500]
11	senate_bri_recruit_champion	rom_payload_agent_champion_success	SUCCESS	DURATION[6];GLOBAL
1101	diplomatic_hel_attack_army_4	TREASURY	SUCCESS	AMOUNT[500]
1107	diplomatic_hel_attack_army_5	TREASURY	SUCCESS	AMOUNT[500]
1110	diplomatic_hel_attack_army_6	TREASURY	SUCCESS	AMOUNT[500]
1118	diplomatic_hel_attack_in_defence_army_1	TREASURY	SUCCESS	AMOUNT[500]
112	senate_pon_recruit_dignitary	rom_payload_agent_dignitary_success	SUCCESS	DURATION[6];GLOBAL
1128	diplomatic_hel_attack_in_defence_army_2	TREASURY	SUCCESS	AMOUNT[500]
113	senate_rom_recruit_dignitary	rom_payload_agent_dignitary_success	SUCCESS	DURATION[6];GLOBAL
1137	diplomatic_hel_attack_in_defence_army_3	TREASURY	SUCCESS	AMOUNT[500]
1140	diplomatic_hel_attack_in_defence_army_4	TREASURY	SUCCESS	AMOUNT[500]
