stat_key	unit_class	filter	list_order
#ui_unit_stat_to_classes_tables;3;db/ui_unit_stat_to_classes_tables/ui_unit_stat_to_classes			
stat_ammo	art_fix	none	4
stat_ammo	art_fld	none	4
stat_ammo	art_siege	none	4
stat_ammo	cav_mis	none	4
stat_ammo	inf_mis	none	4
stat_armour	art_fix	none	9
stat_armour	art_fld	none	9
stat_armour	art_siege	none	9
stat_armour	cav_mel	none	6
stat_armour	cav_mis	none	9
stat_armour	cav_shk	none	6
stat_armour	chariot	none	5
stat_armour	com	none	5
stat_armour	elph	none	5
stat_armour	inf_mel	none	6
stat_armour	inf_mis	none	9
stat_armour	inf_pik	none	5
stat_armour	inf_spr	none	6
stat_armour	shp_art	none	9
stat_armour	shp_mel	none	6
stat_armour	shp_mis	none	9
stat_armour	shp_trn	none	9
stat_armour	spcl	none	5
stat_bonus_vs_cavalry	cav_mel	none	3
stat_bonus_vs_cavalry	cav_shk	none	3
stat_bonus_vs_cavalry	inf_spr	none	3
stat_bonus_vs_infantry	inf_mel	none	3
stat_charge_bonus	art_fix	none	7
stat_charge_bonus	art_fld	none	7
stat_charge_bonus	art_siege	none	7
stat_charge_bonus	cav_mel	none	4
stat_charge_bonus	cav_mis	none	7
stat_charge_bonus	cav_shk	none	4
stat_charge_bonus	chariot	none	3
stat_charge_bonus	com	none	3
stat_charge_bonus	elph	none	3
stat_charge_bonus	inf_mel	none	4
stat_charge_bonus	inf_mis	none	7
stat_charge_bonus	inf_pik	none	3
stat_charge_bonus	inf_spr	none	4
stat_charge_bonus	spcl	none	3
stat_health	art_fix	none	10
stat_health	art_fld	none	10
stat_health	art_siege	none	10
stat_health	cav_mel	none	7
stat_health	cav_mis	none	10
stat_health	cav_shk	none	7
stat_health	chariot	none	6
stat_health	com	none	6
stat_health	elph	none	6
stat_health	inf_mel	none	7
stat_health	inf_mis	none	10
stat_health	inf_pik	none	6
stat_health	inf_spr	none	7
stat_health	shp_art	none	10
stat_health	shp_mel	none	7
stat_health	shp_mis	none	10
stat_health	shp_trn	none	10
stat_health	spcl	none	6
stat_melee_attack	art_fix	none	5
stat_melee_attack	art_fld	none	5
stat_melee_attack	art_siege	none	5
stat_melee_attack	cav_mel	none	1
stat_melee_attack	cav_mis	none	5
stat_melee_attack	cav_shk	none	1
stat_melee_attack	chariot	none	1
stat_melee_attack	com	none	1
stat_melee_attack	elph	none	1
stat_melee_attack	inf_mel	none	1
stat_melee_attack	inf_mis	none	5
stat_melee_attack	inf_pik	none	1
stat_melee_attack	inf_spr	none	1
stat_melee_attack	shp_art	none	6
stat_melee_attack	shp_mel	none	3
stat_melee_attack	shp_mis	none	6
stat_melee_attack	shp_trn	none	6
stat_melee_attack	spcl	none	1
stat_melee_defence	art_fix	none	8
stat_melee_defence	art_fld	none	8
stat_melee_defence	art_siege	none	8
stat_melee_defence	cav_mel	none	5
stat_melee_defence	cav_mis	none	8
stat_melee_defence	cav_shk	none	5
stat_melee_defence	chariot	none	4
stat_melee_defence	com	none	4
stat_melee_defence	elph	none	4
stat_melee_defence	inf_mel	none	5
stat_melee_defence	inf_mis	none	8
stat_melee_defence	inf_pik	none	4
stat_melee_defence	inf_spr	none	5
stat_melee_defence	shp_art	none	8
stat_melee_defence	shp_mel	none	5
stat_melee_defence	shp_mis	none	8
stat_melee_defence	shp_trn	none	8
stat_melee_defence	spcl	none	4
stat_missile_damage	art_fix	none	1
stat_missile_damage	art_fld	none	1
stat_missile_damage	art_siege	none	1
stat_missile_damage	cav_mis	none	1
stat_missile_damage	inf_mis	none	1
stat_missile_damage	shp_art	none	3
stat_missile_damage	shp_mis	none	1
stat_missile_damage	shp_trn	none	1
stat_morale	art_fix	none	11
stat_morale	art_fld	none	11
stat_morale	art_siege	none	11
stat_morale	cav_mel	none	8
stat_morale	cav_mis	none	11
stat_morale	cav_shk	none	8
stat_morale	chariot	none	7
stat_morale	com	none	7
stat_morale	elph	none	7
stat_morale	inf_mel	none	8
stat_morale	inf_mis	none	11
stat_morale	inf_pik	none	7
stat_morale	inf_spr	none	8
stat_morale	shp_art	none	11
stat_morale	shp_mel	none	8
stat_morale	shp_mis	none	11
stat_morale	shp_trn	none	11
stat_morale	spcl	none	7
stat_reloading	art_fix	none	3
stat_reloading	art_fld	none	3
stat_reloading	art_siege	none	3
stat_reloading	cav_mis	none	3
stat_reloading	inf_mis	none	3
stat_reloading	shp_art	none	5
stat_reloading	shp_mis	none	3
stat_reloading	shp_trn	none	3
stat_ship_health	shp_art	none	1
stat_ship_health	shp_mel	none	1
stat_ship_health	shp_mis	none	4
stat_ship_health	shp_trn	none	4
stat_ship_move_speed	shp_art	none	2
stat_ship_move_speed	shp_mel	none	2
stat_ship_move_speed	shp_mis	none	5
stat_ship_move_speed	shp_trn	none	5
stat_weapon_damage	art_fix	none	6
stat_weapon_damage	art_fld	none	6
stat_weapon_damage	art_siege	none	6
stat_weapon_damage	cav_mel	none	2
stat_weapon_damage	cav_mis	none	6
stat_weapon_damage	cav_shk	none	2
stat_weapon_damage	chariot	none	2
stat_weapon_damage	com	none	2
stat_weapon_damage	elph	none	2
stat_weapon_damage	inf_mel	none	2
stat_weapon_damage	inf_mis	none	6
stat_weapon_damage	inf_pik	none	2
stat_weapon_damage	inf_spr	none	2
stat_weapon_damage	shp_art	none	7
stat_weapon_damage	shp_mel	none	4
stat_weapon_damage	shp_mis	none	7
stat_weapon_damage	shp_trn	none	7
stat_weapon_damage	spcl	none	2
stat_weapon_range	art_fix	none	2
stat_weapon_range	art_fld	none	2
stat_weapon_range	art_siege	none	2
stat_weapon_range	cav_mis	none	2
stat_weapon_range	inf_mis	none	2
stat_weapon_range	shp_art	none	4
stat_weapon_range	shp_mis	none	2
stat_weapon_range	shp_trn	none	2
