effect_bundle	province	season	default	weighting
#season_province_effect_bundles_tables;0;db/season_province_effect_bundles_tables/season_province_effect_bundles				
pun_season_autumn	emp_achaia	season_autumn	true	7
pun_season_autumn	emp_aegyptos	season_autumn	true	7
pun_season_autumn_dry	emp_aethiopia	season_autumn	true	7
pun_season_autumn	emp_africa	season_autumn	true	7
pun_season_autumn	emp_aquitania	season_autumn	true	7
pun_season_autumn_dry	emp_arabia_felix	season_autumn	true	7
pun_season_autumn_dry	emp_arabia_magna	season_autumn	true	7
pun_season_autumn	emp_aria	season_autumn	true	7
pun_season_autumn	emp_armenia	season_autumn	true	7
pun_season_autumn	emp_asia	season_autumn	true	7
pun_season_autumn	emp_bactria	season_autumn	true	7
pun_season_autumn	emp_baetica	season_autumn	true	7
pun_season_autumn	emp_belgica	season_autumn	true	7
pun_season_autumn	emp_bithynia_et_pontus	season_autumn	true	7
pun_season_autumn	emp_bosporus	season_autumn	true	7
pun_season_autumn	emp_britannia	season_autumn	true	7
pun_season_autumn	emp_carmania	season_autumn	true	4
pun_season_autumn	emp_caucasia	season_autumn	true	7
pun_season_autumn	emp_chorasmia	season_autumn	true	7
pun_season_autumn	emp_cisalpina	season_autumn	true	7
pun_season_autumn	emp_corsica_et_sardinia	season_autumn	true	7
pun_season_autumn	emp_dacia	season_autumn	true	7
pun_season_autumn	emp_galatia_et_cappadocia	season_autumn	true	7
pun_season_autumn	emp_gallia	season_autumn	true	7
pun_season_autumn	emp_gedrosia	season_autumn	true	7
pun_season_autumn	emp_germania_minor	season_autumn	true	4
pun_season_autumn	emp_hercynia	season_autumn	true	4
pun_season_autumn	emp_hispania	season_autumn	true	7
pun_season_autumn	emp_illyricum	season_autumn	true	7
pun_season_autumn	emp_italia	season_autumn	true	7
pun_season_autumn	emp_judea	season_autumn	true	7
pun_season_autumn	emp_latium	season_autumn	true	7
pun_season_autumn_dry	emp_libya	season_autumn	true	7
pun_season_autumn	emp_lugii	season_autumn	true	4
pun_season_autumn	emp_lusitania	season_autumn	true	7
pun_season_autumn	emp_macedonia	season_autumn	true	7
pun_season_autumn	emp_magna_germania	season_autumn	true	7
pun_season_autumn	emp_mauretania	season_autumn	true	7
pun_season_autumn	emp_media_magna	season_autumn	true	7
pun_season_autumn	emp_mesopotamia	season_autumn	true	7
pun_season_autumn_dry	emp_nabataea	season_autumn	true	7
pun_season_autumn	emp_narbonensis	season_autumn	true	7
pun_season_autumn	emp_numidia	season_autumn	true	7
pun_season_autumn	emp_palmyra	season_autumn	true	7
pun_season_autumn	emp_pannonia	season_autumn	true	7
pun_season_autumn	emp_parthia	season_autumn	true	7
pun_season_autumn	emp_persis	season_autumn	true	7
pun_season_autumn_dry	emp_phazania	season_autumn	true	7
pun_season_autumn	emp_pretanic_isles	season_autumn	true	7
pun_season_autumn	emp_raetia_et_noricum	season_autumn	true	7
pun_season_autumn	emp_sarmatia	season_autumn	true	7
pun_season_autumn	emp_scythia	season_autumn	true	7
pun_season_autumn	emp_sicily	season_autumn	true	6
pun_season_autumn	emp_suebia	season_autumn	true	5
pun_season_autumn	emp_syria	season_autumn	true	7
pun_season_autumn	emp_tarraconensis	season_autumn	true	7
pun_season_autumn	emp_thracia	season_autumn	true	7
pun_season_autumn	emp_transoxania	season_autumn	true	7
gaul_season_autumn	gaul_main_aquitania	season_autumn	true	7
gaul_season_autumn_bad	gaul_main_aquitania	season_autumn	false	1
gaul_season_autumn_good	gaul_main_aquitania	season_autumn	false	2
gaul_season_autumn	gaul_main_arduenna_silva	season_autumn	true	7
gaul_season_autumn_bad	gaul_main_arduenna_silva	season_autumn	false	1
gaul_season_autumn_good	gaul_main_arduenna_silva	season_autumn	false	2
gaul_season_autumn	gaul_main_aremorica	season_autumn	true	7
gaul_season_autumn_bad	gaul_main_aremorica	season_autumn	false	1
gaul_season_autumn_good	gaul_main_aremorica	season_autumn	false	2
gaul_season_autumn	gaul_main_britannia	season_autumn	true	7
gaul_season_autumn_bad	gaul_main_britannia	season_autumn	false	1
gaul_season_autumn_good	gaul_main_britannia	season_autumn	false	2
gaul_season_autumn	gaul_main_francium	season_autumn	true	7
gaul_season_autumn_bad	gaul_main_francium	season_autumn	false	1
gaul_season_autumn_good	gaul_main_francium	season_autumn	false	2
gaul_season_autumn	gaul_main_gergovia	season_autumn	true	7
gaul_season_autumn_bad	gaul_main_gergovia	season_autumn	false	1
gaul_season_autumn_good	gaul_main_gergovia	season_autumn	false	2
gaul_season_autumn	gaul_main_germania_inferior	season_autumn	true	7
gaul_season_autumn_bad	gaul_main_germania_inferior	season_autumn	false	1
gaul_season_autumn_good	gaul_main_germania_inferior	season_autumn	false	2
gaul_season_autumn	gaul_main_helvetia	season_autumn	true	7
gaul_season_autumn_bad	gaul_main_helvetia	season_autumn	false	1
gaul_season_autumn_good	gaul_main_helvetia	season_autumn	false	2
gaul_season_autumn	gaul_main_insubria	season_autumn	true	7
gaul_season_autumn_bad	gaul_main_insubria	season_autumn	false	1
gaul_season_autumn_good	gaul_main_insubria	season_autumn	false	2
gaul_season_autumn	gaul_main_latium	season_autumn	true	7
gaul_season_autumn_bad	gaul_main_latium	season_autumn	false	1
gaul_season_autumn_good	gaul_main_latium	season_autumn	false	2
gaul_season_autumn	gaul_main_liguria	season_autumn	true	7
