art_set_id	agent_type	culture	subculture	faction	is_custom	is_male	group
#campaign_character_art_sets_tables;5;db/campaign_character_art_sets_tables/campaign_character_art_sets							
3c_Afr_General_01_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_01_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_01_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_01_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_01_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_02_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_02_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_02_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_02_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_02_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_03_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_03_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_03_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_03_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_03_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_04_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_04_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_04_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_04_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_04_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_05_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_05_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_05_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_05_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_05_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_06_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_06_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_06_blemmyes	general			3c_blemmyes	false	true	main_3c_only
3c_Afr_General_06_mauri	general			3c_mauri	false	true	main_3c_only
3c_Afr_General_06_meroe	general			3c_meroe	false	true	main_3c_only
3c_Afr_General_07_afrebels	general			3c_rebel_african	false	true	main_3c_only
3c_Afr_General_07_axum	general			3c_axum	false	true	main_3c_only
3c_Afr_General_07_blemmyes	general			3c_blemmyes	false	true	main_3c_only
