config_key	group_key	unit_key	quality
#cdir_unit_qualities_tables;0;db/cdir_unit_qualities_tables/cdir_unit_qualities			
default	general	Cav_Melee_Carthaginian_Liby_Phoenician_Cavalry	0
default	general	Cav_Melee_Italian_Allied_Equites	0
default	general	Cav_Melee_Roman_Equites	0
default	general	Com_Carthaginian_General	0
default	general	Com_Roman_General	0
default	general	Ele_African_Elephants	0
default	general	Gen_Taisho	0
default	general	Gen_Taisho_Bow_MP	0
default	general	Gen_Taisho_Mp	0
default	general	Inf_Melee_Iberian_Long_Shield_Fighters	0
default	general	Inf_Melee_Iberian_Round_Shield_Fighters	0
default	general	Inf_Melee_Italian_Allied_Extraordinarii	0
default	general	Inf_Melee_Italian_Allied_Hastati	0
default	general	Inf_Melee_Roman_Hastati	0
default	general	Inf_Melee_Roman_Heavy_Marines	0
default	general	Inf_Melee_Roman_Principes	0
default	general	Inf_Missile_Carthaginian_Libyan_Heavy_Javelinmen	0
default	general	Inf_Missile_Carthaginian_Libyan_Javelinmen	0
default	general	Inf_Missile_Greek_Mercenary_Cretan_Archers	0
default	general	Inf_Missile_Roman_Light_Marines	0
default	general	Inf_Missile_Roman_Velites	0
default	general	Inf_Spear_Carthaginian_Citizen_Militia	0
default	general	Inf_Spear_Carthaginian_Liby_Phoenician_Hoplites	0
default	general	Inf_Spear_Carthaginian_Libyan_Hoplites	0
default	general	Inf_Spear_Carthaginian_Sacred_Band	0
