effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/effect_bonus_value_unit_ability_junctions		
age_agent_enable_frenzy_cooldown_mod	recharge_mod	frenzy
age_agent_enable_frenzy_parent_army	enable	frenzy
gaul_general_ability_ariovistus_fast_charge	enable	com_fast_charge
gaul_general_ability_ariovistus_pride	enable	com_pride
gaul_general_ability_boduognatos_force_concentration	enable	com_force_concentration
gaul_general_ability_boduognatos_spirit	enable	com_spirit
gaul_general_ability_caesar_loyalty	enable	com_loyalty
gaul_general_ability_caesar_presence	enable	com_presence
gaul_general_ability_vercingetorix_relentless	enable	com_relentless
gaul_general_ability_vercingetorix_unity	enable	com_unity
rom_general_ability_enable_battle_rhythm	enable	com_battle_rhythm
rom_general_ability_enable_brace	enable	com_brace
rom_general_ability_enable_fear_group	enable	com_the_fear_group
rom_general_ability_enable_fear	enable	com_the_fear
rom_general_ability_enable_inspire_group	enable	com_inspire_group
rom_general_ability_enable_inspire	enable	com_inspire_unit
rom_general_ability_enable_into_the_breach_group	enable	com_into_the_breach
rom_general_ability_enable_into_the_breach	enable	com_into_the_breach
rom_general_ability_enable_push	enable	com_push
rom_general_ability_enable_raise_banner	enable	com_raise_banner
rom_general_ability_enable_rally_and_inspire	enable	com_rally_and_inspire
rom_general_ability_enable_rally	enable	com_rally
rom_general_ability_enable_second_wind_group	enable	com_second_wind_group
rom_general_ability_enable_second_wind	enable	com_second_wind
rom_general_ability_enable_stand_and_fight	enable	com_we_stand_and_fight
rom_general_ability_enable_taunt_group	enable	com_taunt_group
rom_general_ability_enable_taunt	enable	com_taunt
rom_general_ability_enable_war_cry_group	enable	com_war_cry_group
rom_general_ability_enable_war_cry	enable	com_war_cry
rom_general_mod_cooldown_rate	recharge_mod	cantabrian_circle
rom_general_mod_cooldown_rate	recharge_mod	cavalry_counter_tactics
rom_general_mod_cooldown_rate	recharge_mod	chant
rom_general_mod_cooldown_rate	recharge_mod	com_battle_rhythm
rom_general_mod_cooldown_rate	recharge_mod	com_brace
rom_general_mod_cooldown_rate	recharge_mod	com_fast_charge
rom_general_mod_cooldown_rate	recharge_mod	com_force_concentration
rom_general_mod_cooldown_rate	recharge_mod	com_inspire_group
rom_general_mod_cooldown_rate	recharge_mod	com_inspire_unit
rom_general_mod_cooldown_rate	recharge_mod	com_into_the_breach
rom_general_mod_cooldown_rate	recharge_mod	com_loyalty
rom_general_mod_cooldown_rate	recharge_mod	com_presence
rom_general_mod_cooldown_rate	recharge_mod	com_pride
rom_general_mod_cooldown_rate	recharge_mod	com_push
rom_general_mod_cooldown_rate	recharge_mod	com_raise_banner
rom_general_mod_cooldown_rate	recharge_mod	com_rally
rom_general_mod_cooldown_rate	recharge_mod	com_rally_and_inspire
rom_general_mod_cooldown_rate	recharge_mod	com_rally_position
rom_general_mod_cooldown_rate	recharge_mod	com_relentless
rom_general_mod_cooldown_rate	recharge_mod	com_second_wind
rom_general_mod_cooldown_rate	recharge_mod	com_second_wind_group
rom_general_mod_cooldown_rate	recharge_mod	com_shock_and_awe
rom_general_mod_cooldown_rate	recharge_mod	com_spirit
rom_general_mod_cooldown_rate	recharge_mod	com_taunt
rom_general_mod_cooldown_rate	recharge_mod	com_taunt_group
rom_general_mod_cooldown_rate	recharge_mod	com_the_fear
rom_general_mod_cooldown_rate	recharge_mod	com_the_fear_group
rom_general_mod_cooldown_rate	recharge_mod	com_unity
rom_general_mod_cooldown_rate	recharge_mod	com_war_cry
rom_general_mod_cooldown_rate	recharge_mod	com_war_cry_group
rom_general_mod_cooldown_rate	recharge_mod	com_we_stand_and_fight
rom_general_mod_cooldown_rate	recharge_mod	draco
rom_general_mod_cooldown_rate	recharge_mod	focus_fire
rom_general_mod_cooldown_rate	recharge_mod	form_cavalry_testudo
rom_general_mod_cooldown_rate	recharge_mod	form_diamond
rom_general_mod_cooldown_rate	recharge_mod	form_flying_wedge
rom_general_mod_cooldown_rate	recharge_mod	form_hollow_square
rom_general_mod_cooldown_rate	recharge_mod	form_hoplite_phalanx
rom_general_mod_cooldown_rate	recharge_mod	form_pike_square
