key	cai_construction_system_category_group	cdir_military_generator_unit_group
#cai_construction_system_categories_tables;0;db/cai_construction_system_categories_tables/cai_construction_system_categories		
cai_category_economic	cai_economic_group	
cai_category_food	cai_food_group	
cai_category_military_land_artillery	cai_military_land_group	Default_land_artillery
cai_category_military_land_camel	cai_military_land_group	Default_land_camels
cai_category_military_land_cavalry_melee	cai_military_land_group	Default_land_cavalry_melee
cai_category_military_land_cavalry_missile	cai_military_land_group	Default_land_cavalry_missile
cai_category_military_land_cavalry_shock	cai_military_land_group	Default_land_cavalry_shock
cai_category_military_land_elephant	cai_military_land_group	Default_land_elephants
cai_category_military_land_infantry_melee	cai_military_land_group	Default_land_infantry_melee
cai_category_military_land_infantry_missile	cai_military_land_group	Default_land_infantry_missile
cai_category_military_land_infantry_spearmen	cai_military_land_group	Default_land_infantry_spearmen
cai_category_military_sea_melee	cai_military_sea_group	Default_naval_melee
cai_category_military_sea_ranged	cai_military_sea_group	Default_naval_ranged
cai_category_military_sea_special	cai_military_sea_group	Default_naval_special
cai_category_public_order	cai_public_order_group	
