action_results_additional_outcome_record	bonus_value_id	effect
#effect_bonus_value_id_action_results_additional_outcomes_junctions_tables;0;db/effect_bonus_value_id_action_results_additional_outcomes_junctions_tables/effect_bonus_value_id_action_results_additional_outcomes_junctions		
1040	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1041	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1042	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1043	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1044	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1045	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1046	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1047	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1048	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1049	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1050	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1051	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1052	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1053	action_results_additional_outcome_record_value_addition	age_agent_action_gain_wealth
1230	action_results_additional_outcome_record_value_addition	age_agent_agriculture_gdp_mod_local_province_deployed
1131	action_results_additional_outcome_record_value_addition	age_agent_armour_mod_parent_army
1012	action_results_additional_outcome_record_value_addition	age_agent_assist_province_recruitment_slots
1023	action_results_additional_outcome_record_value_addition	age_agent_assist_province_training_melee_attack_all
1212	action_results_additional_outcome_record_value_addition	age_agent_assist_province_training_melee_attack_all
1013	action_results_additional_outcome_record_value_addition	age_agent_assist_province_training_morale_all
1211	action_results_additional_outcome_record_value_addition	age_agent_assist_province_training_morale_all
1061	action_results_additional_outcome_record_value_addition	age_agent_attack_garrison_public_order
1062	action_results_additional_outcome_record_value_addition	age_agent_attack_garrison_public_order
1059	action_results_additional_outcome_record_value_addition	age_agent_attack_garrison_replenishment_rate
1060	action_results_additional_outcome_record_value_addition	age_agent_attack_garrison_replenishment_rate
1057	action_results_additional_outcome_record_value_addition	age_agent_attrition_mod_siege_parent_army
1058	action_results_additional_outcome_record_value_addition	age_agent_attrition_mod_siege_parent_army
1033	action_results_additional_outcome_record_value_addition	age_agent_attrition_to_region_owner
1080	action_results_additional_outcome_record_value_addition	age_agent_auxiliary_recruitment_cost_mod_local_province_deployed
1236	action_results_additional_outcome_record_value_addition	age_agent_building_cost_mod_local_province_deployed
1231	action_results_additional_outcome_record_value_addition	age_agent_cavalry_upkeep_parent_army
1031	action_results_additional_outcome_record_value_addition	age_agent_champion_assassination_success_reveal
1032	action_results_additional_outcome_record_value_addition	age_agent_champion_assassination_success_reveal
1070	action_results_additional_outcome_record_value_addition	age_agent_champion_morale_cavalry_parent_army
1006	action_results_additional_outcome_record_value_addition	age_agent_champion_reduce_movement_range_fail_assassination
1007	action_results_additional_outcome_record_value_addition	age_agent_champion_reduce_movement_range_fail_assassination
1008	action_results_additional_outcome_record_value_addition	age_agent_champion_reduce_movement_range_fail_assassination
1009	action_results_additional_outcome_record_value_addition	age_agent_champion_reduce_movement_range_fail_assassination
27	action_results_additional_outcome_record_value_addition	age_agent_champion_unlock_demoralize
28	action_results_additional_outcome_record_value_addition	age_agent_champion_unlock_demoralize
1071	action_results_additional_outcome_record_value_addition	age_agent_champion_upkeep_cavalry_parent_army
1015	action_results_additional_outcome_record_value_addition	age_agent_charge_bonus_parent_army
1174	action_results_additional_outcome_record_value_addition	age_agent_civil_research_enemy_region_deployed
