party	animation	uniform	x_offset	y_offset
#frontend_faction_leaders_tables;3;db/frontend_faction_leaders_tables/frontend_faction_leaders				
pro_politics_rome_council	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_pro_politics_rome_council.VariantMeshDefinition	0.0000	0.0000
rom_politics_arverni_ruler	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_arverni_ruler.VariantMeshDefinition	0.0000	0.0000
rom_politics_athens_ruler	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_athens_ruler.VariantMeshDefinition	0.0000	0.0000
rom_politics_carthage_barcid	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_carthage_barcid.VariantMeshDefinition	0.0000	0.0000
rom_politics_carthage_hannonid	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_carthage_hannonid.VariantMeshDefinition	0.0000	0.0000
rom_politics_carthage_magonid	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_carthage_magonid.VariantMeshDefinition	0.0000	0.0000
rom_politics_egypt_ptolemaic	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_egypt_ptolemaic.VariantMeshDefinition	0.0000	0.0000
rom_politics_epirus_ruler	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_epirus_ruler.VariantMeshDefinition	0.0000	0.0000
rom_politics_iceni_ruler	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_iceni_ruler.VariantMeshDefinition	0.0000	0.0000
rom_politics_macedon_antigonid	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_macedon_antigonid.VariantMeshDefinition	0.0000	0.0000
rom_politics_parthia_arsacid	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_parthia_arsacid.VariantMeshDefinition	0.0000	0.0000
rom_politics_pontus_mithridatic	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_pontus_mithridatic.VariantMeshDefinition	0.0000	0.0000
rom_politics_rome_cornelia	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_rome_cornelia.VariantMeshDefinition	0.0000	0.0000
rom_politics_rome_julia	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_rome_julia.VariantMeshDefinition	0.0000	0.0000
rom_politics_rome_junia	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_rome_junia.VariantMeshDefinition	0.0000	0.0000
rom_politics_seleucid_seleucids	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_seleucid_seleucids.VariantMeshDefinition	0.0000	0.0000
rom_politics_sparta_ruler	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_sparta_ruler.VariantMeshDefinition	0.0000	0.0000
rom_politics_suebi_ruler	animations/ROME2/human/front_end/stand.anim	VariantMeshes/VariantMeshDefinitions/factionleader_suebi_ruler.VariantMeshDefinition	0.0000	0.0000
