id	names_group	type	gender	frequency
#names_tables;1;db/names_tables/names				
2147319505	46	0	0	1
2147319515	46	0	0	1
2147319519	46	0	0	1
2147319523	46	0	0	1
2147319531	46	0	0	1
2147319536	46	0	0	1
2147319537	46	0	0	1
2147319538	46	0	0	1
2147319544	46	0	0	1
2147319545	46	0	0	1
2147319551	46	2	0	1
2147319553	46	2	0	1
2147319554	46	2	0	1
2147319561	46	2	0	1
2147319563	46	2	0	1
2147319567	46	2	0	1
2147319574	46	2	0	1
2147319579	46	2	0	1
2147319587	46	2	0	1
2147319590	46	2	0	1
2147319595	46	1	0	1
2147319597	46	1	0	1
2147319605	46	1	0	1
2147319614	46	1	0	1
2147319616	46	1	0	1
2147319618	46	1	0	1
2147319621	46	1	0	1
2147319628	46	1	0	1
2147319638	46	1	0	1
2147319639	46	1	0	1
2147319642	46	3	0	1
2147319650	46	3	0	1
2147319655	46	3	0	1
2147319662	46	3	0	1
2147319666	46	3	0	1
2147319668	46	3	0	1
2147319677	46	3	0	1
2147319682	46	3	0	1
2147319689	46	3	0	1
2147319692	46	3	0	1
2147319696	48	0	0	1
2147319706	48	0	0	1
2147319713	48	0	0	1
2147319715	48	0	0	1
2147319725	48	0	0	1
2147319727	48	0	0	1
2147319728	48	0	0	1
2147319729	48	0	0	1
2147319738	48	0	0	1
2147319743	48	0	0	1
2147319745	48	0	0	1
2147319751	48	0	0	1
2147319755	48	0	0	1
2147319762	48	0	0	1
2147319764	48	0	0	1
2147319774	48	0	0	1
2147319781	48	0	0	1
2147319788	48	0	0	1
2147319795	48	0	0	1
2147319799	48	0	0	1
2147319805	48	0	0	1
2147319806	48	0	0	1
2147319809	48	0	0	1
2147319817	48	0	0	1
2147319824	48	0	0	1
2147319828	48	0	0	1
2147319836	48	0	0	1
2147319838	48	0	0	1
2147319847	48	0	0	1
2147319856	48	0	0	1
2147319857	48	0	0	1
2147319866	48	0	0	1
2147319875	48	0	0	1
2147319884	48	0	0	1
2147319891	48	3	0	1
2147319898	48	3	0	0
2147319904	48	3	0	1
2147319905	48	3	0	0
2147319909	48	3	0	1
2147319914	48	3	0	1
2147319915	48	3	0	1
2147319923	48	3	0	1
2147319925	48	3	0	1
2147319934	48	3	0	1
2147319944	48	3	0	1
2147319947	48	3	0	1
2147319953	48	3	0	1
2147319954	48	3	0	1
2147319959	48	3	0	1
2147319963	48	3	0	1
2147319964	48	3	0	1
2147319971	48	3	0	1
2147319974	48	1	0	0
2147319980	48	3	0	1
2147319981	48	3	0	1
2147319989	48	3	0	1
2147319998	48	3	0	1
2147320002	48	3	0	1
2147320007	48	0	0	1
2147320014	48	0	0	1
2147320020	48	0	0	1
2147320023	48	0	0	1
2147320024	48	0	0	1
2147320030	48	0	0	1
2147320039	48	0	0	1
2147320045	48	0	0	1
2147320053	48	0	0	1
2147320056	48	0	0	1
2147320063	48	0	0	1
2147320072	48	0	0	1
2147320081	48	0	0	1
2147320082	48	0	0	1
2147320092	48	0	0	1
2147320102	48	0	0	1
2147320109	48	0	0	1
2147320118	48	0	0	1
2147320124	48	0	0	1
2147320128	48	0	0	1
2147320136	48	0	0	1
2147320139	48	0	0	1
2147320145	48	0	0	1
2147320148	48	0	0	1
2147320152	48	0	0	1
2147320155	48	0	0	1
2147320162	48	0	0	1
2147320164	48	0	0	1
2147320171	48	0	0	1
2147320172	48	0	0	1
2147320182	48	0	0	1
2147320185	48	0	0	0
2147320195	48	0	0	1
2147320198	48	0	0	1
2147320200	48	0	0	1
2147320201	48	0	0	1
2147320206	48	0	0	1
2147320207	48	0	0	1
2147320208	48	0	0	1
2147320214	48	0	0	1
2147320222	48	0	0	0
2147320223	48	0	0	1
2147320230	48	0	0	1
2147320239	48	0	0	1
2147320249	48	0	0	1
2147320252	48	0	0	1
2147320260	48	0	0	1
2147320268	48	0	0	1
2147320278	48	0	0	1
2147320287	48	0	0	1
2147320296	48	0	0	1
2147320300	48	0	0	1
2147320308	48	0	0	1
2147320314	48	0	0	1
2147320320	48	0	0	1
2147320326	48	0	0	1
2147320335	48	0	0	1
2147320344	48	0	0	1
2147320345	48	0	0	1
2147320353	48	0	0	1
2147320355	48	0	0	1
2147320363	48	0	0	1
2147320370	48	0	0	1
2147320372	48	0	0	1
2147320381	48	0	0	1
2147320388	48	0	0	1
2147320397	48	0	0	1
2147320403	48	0	0	1
2147320405	48	0	0	1
2147320411	48	0	0	1
