key	effect_bundle	ui_icon
#faction_groups_tables;0;db/faction_groups_tables/faction_groups		
3c_faction_group_african	rom_faction_trait_rome	x
3c_faction_group_arabian	rom_faction_trait_rome	x
3c_faction_group_britannic	3c_faction_group_celtic	factions_britannic_tribes.png
3c_faction_group_eastern	3c_faction_group_eastern	factions_eastern_empires.png
3c_faction_group_germanic	3c_faction_group_germanic	factions_germanic_tribes.png
3c_faction_group_nomadic	3c_faction_group_nomadic	factions_nomadic_tribes.png
3c_faction_group_rome	3c_faction_group_roman	factions_gaul_rome.png
emp_faction_group_african	rom_faction_trait_african	x
emp_faction_group_arabian	rom_faction_trait_arabian	x
emp_faction_group_britannic	emp_faction_trait_britannic	factions_britannic_tribes.png
emp_faction_group_carthage	rom_faction_trait_carthage	x
emp_faction_group_celtiberian	rom_faction_trait_celtiberian	x
emp_faction_group_celtic	rom_faction_trait_celtic	x
emp_faction_group_daco_thracian	emp_faction_trait_daco_thracian	x
emp_faction_group_eastern	emp_faction_trait_eastern	factions_eastern_empires.png
emp_faction_group_etruscan	rom_faction_trait_etruscan	x
emp_faction_group_gallic	rom_faction_trait_gallic	factions_gallic_tribes.png
emp_faction_group_germanic	emp_faction_trait_germanic	factions_germanic_tribes.png
emp_faction_group_greek	rom_faction_trait_greek	factions_nomadic_tribes.png
emp_faction_group_nomadic	rom_faction_trait_nomadic	factions_nomadic_tribes.png
emp_faction_group_punic	rom_faction_trait_carthage	x
emp_faction_group_rome	emp_faction_trait_rome	x
emp_faction_group_successors	emp_faction_trait_successors	factions_successor_kingdoms.png
gaul_faction_group_arverni	rom_faction_trait_gallic	factions_gaul_arverni.png
gaul_faction_group_belgic	gaul_faction_trait_belgic	x
gaul_faction_group_belgic_friend_rome	rom_faction_trait_gallic	x
gaul_faction_group_britannic	gaul_faction_trait_britannic	x
gaul_faction_group_gallic	gaul_faction_trait_gallic	x
gaul_faction_group_gallic_friend_rome	rom_faction_trait_gallic	x
gaul_faction_group_germanic	gaul_faction_trait_germanic	x
gaul_faction_group_massilia	gaul_faction_trait_massilia	x
gaul_faction_group_nervii	rom_faction_trait_gallic	factions_gaul_nervii.png
gaul_faction_group_rome	rom_faction_trait_rome	factions_gaul_rome.png
gaul_faction_group_suebi	rom_faction_trait_germanic	factions_gaul_suebi.png
inv_faction_group_gallic_tribes	inv_faction_group_gallic	factions_gallic_tribes.png
inv_faction_group_greek_tribes	inv_faction_group_greek	factions_greek_states.png
inv_faction_group_iapygian	inv_faction_group_iapygian	placeholder.png
inv_faction_group_italian_civilizations	inv_faction_group_italian_civ	placeholder.png
inv_faction_group_italian_tribes	inv_faction_group_italic	placeholder.png
inv_faction_group_nuragic_tribes	inv_faction_group_nuragic	placeholder.png
pel_faction_group_athenai	pel_group_greek	x
pel_faction_group_barbarian	pel_group_barbarian	x
pel_faction_group_boiotian	pel_group_greek	x
pel_faction_group_greek	pel_group_greek	x
pel_faction_group_korinthos	pel_group_greek	x
pel_faction_group_persian	pel_group_persian	x
pel_faction_group_sparta	pel_group_greek	x
pun_faction_group_african	rom_dummy_effect_bundle	x
pun_faction_group_arevaci	rom_faction_trait_celtiberian	factions_punic_arevaci.png
pun_faction_group_carthage	rom_faction_trait_carthage	factions_punic_carthage.png
pun_faction_group_celtic	rom_dummy_effect_bundle	x
pun_faction_group_greek	rom_dummy_effect_bundle	x
pun_faction_group_iberian	rom_dummy_effect_bundle	x
pun_faction_group_italian	rom_dummy_effect_bundle	x
pun_faction_group_lusitani	rom_faction_trait_celtiberian	factions_punic_lusitani.png
pun_faction_group_rome	rom_faction_trait_rome	factions_punic_rome.png
pun_faction_group_syracuse	rom_faction_trait_greek	factions_punic_syracuse.png
rom_faction_group_african	rom_faction_trait_african	x
rom_faction_group_arabian	rom_faction_trait_arabian	x
rom_faction_group_black_sea	rom_faction_trait_black_sea	factions_successor_kingdoms.png
rom_faction_group_britannic	rom_faction_trait_britannic	factions_britannic_tribes.png
rom_faction_group_carthage	rom_faction_trait_carthage	x
rom_faction_group_celtiberian	rom_faction_trait_celtiberian	x
rom_faction_group_celtic	rom_faction_trait_celtic	x
rom_faction_group_daco_thracian	rom_faction_trait_daco_thracian	x
rom_faction_group_desert	rom_faction_trait_desert	x
rom_faction_group_eastern	rom_faction_trait_eastern	factions_eastern_empires.png
rom_faction_group_etruscan	rom_faction_trait_etruscan	x
rom_faction_group_gallic	rom_faction_trait_gallic	factions_gallic_tribes.png
rom_faction_group_germanic	rom_faction_trait_germanic	factions_germanic_tribes.png
rom_faction_group_greek	rom_faction_trait_greek	factions_nomadic_tribes.png
rom_faction_group_nomadic	rom_faction_trait_nomadic	factions_nomadic_tribes.png
rom_faction_group_punic	rom_faction_trait_carthage	x
rom_faction_group_rome	rom_faction_trait_rome	x
rom_faction_group_successors	rom_faction_trait_successors	factions_successor_kingdoms.png
