order	special_ability	phase
#special_ability_to_special_ability_phase_junctions_tables;1;db/special_ability_to_special_ability_phase_junctions_tables/special_ability_to_special_ability_phase_junctions		
1	a_mp_test_10	barrage_1
1	a_mp_test_1	quick_march_1
1	a_mp_test_11	battle_cry_1
2	a_mp_test_1	quick_march_2
1	a_mp_test_12	hold_the_line_1
1	a_mp_test_13	wooden_swords_steal_hearts_1
1	a_mp_test_15	herd_and_slaughter_1
1	a_mp_test_17	raise_shields_1
1	a_mp_test_2	infantry_charge_1
1	a_mp_test_3	heavy_infantry_charge_1
1	a_mp_test_4	cavalry_charge_1
1	a_mp_test_5	Bloodlust_1
1	a_mp_test_6	Make_it_Count_1
1	a_mp_test_7	conveterani_1
1	a_mp_test_8	aquila_1
1	a_mp_test_9	stress_1
2	a_mp_test_9	stress_2
1	cantabrian_circle	form_move1
2	cantabrian_circle	cantabrian_circle
1	cavalry_counter_tactics	equine_mutilation
1	chant	chant
1	com_battle_rhythm	com_battle_rhythm_1
2	com_battle_rhythm	com_battle_rhythm_2
3	com_battle_rhythm	com_battle_rhythm_3
4	com_battle_rhythm	com_battle_rhythm_4
5	com_battle_rhythm	com_battle_rhythm_5
1	com_brace	com_brace
1	com_fast_charge	com_fast_charge_1
2	com_fast_charge	com_fast_charge_2
1	com_force_concentration	com_force_concentration
1	com_inspire_group	com_inspire
1	com_inspire_unit	com_inspire
1	com_into_the_breach	com_into_the_breach
1	com_loyalty	com_loyalty
1	com_presence	com_presence
1	com_pride	com_pride
1	com_push	com_push
1	com_raise_banner	com_raise_banner
1	com_rally	com_rally
1	com_rally_and_inspire	com_rally_inspire
1	com_relentless	com_relentless
1	com_second_wind	com_second_wind
1	com_second_wind_group	com_second_wind
1	com_shock_and_awe	com_shock_and_awe
1	com_spirit	com_spirit
2	com_taunt	screech
2	com_taunt_group	screech
1	com_the_fear	com_fear
1	com_the_fear_group	com_fear
1	com_unity	com_unity
1	com_war_cry	morale_v_low
1	com_war_cry_group	morale_v_low
1	com_we_stand_and_fight	com_stand_and_fight
1	draco	spec_draco
1	dylans_test_1	dylans_test_pos_50
1	dylans_test_2	dylans_test_pos_10
2	dylans_test_2	dylan_test_neg_8
1	far_shot	spec_far_shot
1	form_cavalry_testudo	form_move3
2	form_cavalry_testudo	form_cavalry_testudo
1	form_diamond	form_move3
2	form_diamond	form_flying_wedge
1	form_flying_wedge	form_move2
2	form_flying_wedge	form_flying_wedge
1	form_hollow_square	form_move2
2	form_hollow_square	form_hollow_square
1	form_hoplite_phalanx	form_move1
2	form_hoplite_phalanx	form_hoplite_wall
1	form_pike_square	form_move1
2	form_pike_square	form_square
1	form_pike_wall	form_move1
2	form_pike_wall	form_wall
1	form_shield_screen	form_move1
2	form_shield_screen	form_spear_wall
1	form_shield_wall	form_move2
2	form_shield_wall	form_shield_wall
1	form_testudo	form_move2
2	form_testudo	form_attacking_testudo
1	form_testudo_defensive	form_move3
2	form_testudo_defensive	form_defensive_testudo
1	form_wedge	form_move2
2	form_wedge	form_flying_wedge
1	frenzied_charge	frenzied_charge
2	frenzied_charge	fatigue_penalty_2
1	frenzied_charge_inf	frenzied_charge
2	frenzied_charge_inf	fatigue_penalty_2
1	frenzy	frenzy_1
2	frenzy	frenzy_2
1	hard_10	ship_speed_1
1	hard_20	ship_speed_2
1	hard_30	ship_speed_3
1	headhunt	headhunt_1
2	headhunt	headhunt_2
3	headhunt	headhunt_3
4	headhunt	headhunt_4
5	headhunt	fatigue_penalty_3
1	kill_elephants	spec_kill_elephants
1	killing_spree	spec_killing_spree_1
2	killing_spree	spec_killing_spree_2
3	killing_spree	fatigue_penalty_1
1	manual_charge	normal_charge_1
1	precision_shot	precision_shot_1
2	precision_shot	fatigue_penalty_2
1	quick_reload	spec_quick_reload
2	quick_reload	fatigue_penalty_2
1	rapid_advance	spec_rapid_advance_1
2	rapid_advance	fatigue_penalty_1
1	screech	screech
1	stampede	spec_trample
2	stampede	fatigue_penalty_2
1	steady_advance	spec_steady_advance
2	steady_advance	fatigue_penalty_3
1	steady_retreat	spec_steady_retreat
2	steady_retreat	fatigue_penalty_3
1	trample	spec_trample
2	trample	fatigue_penalty_2
1	use_the_whip	spec_use_the_whip_1
2	use_the_whip	spec_use_the_whip_2
