bold	key	size
#fonts_tables;0;db/fonts_tables/fonts		
false	georgia_italic	10
false	georgia_italic	12
false	georgia_italic	14
false	georgia_italic	16
false	georgia_italic	18
false	georgia_italic	20
false	georgia_italic	22
false	la_gioconda	10
false	la_gioconda	12
false	la_gioconda	14
false	la_gioconda	16
false	la_gioconda	18
false	la_gioconda	20
false	la_gioconda	22
false	la_gioconda	24
false	la_gioconda_uppercase	10
false	la_gioconda_uppercase	12
false	la_gioconda_uppercase	14
false	la_gioconda_uppercase	16
false	la_gioconda_uppercase	18
false	la_gioconda_uppercase	20
false	la_gioconda_uppercase	22
false	la_gioconda_uppercase	24
false	la_gioconda_uppercase	28
false	la_gioconda_uppercase	32
false	la_gioconda_uppercase	38
false	la_gioconda_uppercase	8
false	la_gioconda_uppercase	9
