battle_context_key	faction_key
#campaign_bonus_value_battle_context_faction_junctions_tables;0;db/campaign_bonus_value_battle_context_faction_junctions_tables/campaign_bonus_value_battle_context_faction_junctions	
fighting_culture_celtic	inv_bituriges
fighting_culture_celtic	inv_boii
fighting_culture_celtic	inv_carni
fighting_culture_celtic	inv_carnutes
fighting_culture_celtic	inv_cenomani
fighting_culture_celtic	inv_insubres
fighting_culture_celtic	inv_lepontii
fighting_culture_celtic	inv_ligures
fighting_culture_celtic	inv_senones
fighting_culture_etruscans	inv_aleria
fighting_culture_etruscans	inv_aritim
fighting_culture_etruscans	inv_bituriges
fighting_culture_etruscans	inv_felathri
fighting_culture_etruscans	inv_raeti
fighting_culture_etruscans	inv_rebel_etruscan
fighting_culture_etruscans	inv_tarchuna
fighting_culture_etruscans	inv_tarchuna_civil_war
fighting_culture_etruscans	inv_tarchuna_secession
fighting_culture_etruscans	inv_veii
fighting_culture_etruscans	inv_viesul
fighting_culture_gauls	inv_boii
fighting_culture_gauls	inv_carni
fighting_culture_gauls	inv_carnutes
fighting_culture_gauls	inv_cenomani
fighting_culture_gauls	inv_insubres
fighting_culture_gauls	inv_insubres_civil_war
fighting_culture_gauls	inv_insubres_secession
fighting_culture_gauls	inv_lepontii
fighting_culture_gauls	inv_ligures
fighting_culture_gauls	inv_rebel_gaul
fighting_culture_gauls	inv_senones
fighting_culture_gauls	inv_senones_civil_war
fighting_culture_gauls	inv_senones_secession
fighting_culture_greeks	inv_agrigento
fighting_culture_greeks	inv_agyrion
fighting_culture_greeks	inv_croton
fighting_culture_greeks	inv_neapolis
fighting_culture_greeks	inv_rhegion
fighting_culture_greeks	inv_syracuse
fighting_culture_greeks	inv_taranto
fighting_culture_illyrian_pirates	inv_pirate_illyrian
fighting_culture_italians	inv_aequi
fighting_culture_italians	inv_bruttii
fighting_culture_italians	inv_frentani
fighting_culture_italians	inv_lucani
fighting_culture_italians	inv_marrucini
fighting_culture_italians	inv_paeligni
fighting_culture_italians	inv_picentes
fighting_culture_italians	inv_sabines
fighting_culture_italians	inv_samnites
fighting_culture_italians	inv_umbri
fighting_culture_italians	inv_veneti
fighting_culture_nuragic	inv_balari
fighting_culture_nuragic	inv_corsi
fighting_culture_nuragic	inv_iolei
fighting_faction_carthage	rom_carthage
fighting_faction_egypt	rom_ptolemaics
fighting_faction_greeks_successors	rom_athens
fighting_faction_greeks_successors	rom_baktria
fighting_faction_greeks_successors	rom_cyprus
fighting_faction_greeks_successors	rom_cyrenaica
fighting_faction_greeks_successors	rom_epirus
fighting_faction_greeks_successors	rom_knossos
fighting_faction_greeks_successors	rom_macedon
fighting_faction_greeks_successors	rom_massilia
fighting_faction_greeks_successors	rom_pergamon
fighting_faction_greeks_successors	rom_ptolemaics
fighting_faction_greeks_successors	rom_rhodos
fighting_faction_greeks_successors	rom_seleucid
fighting_faction_greeks_successors	rom_sparta
fighting_faction_greeks_successors	rom_syracuse
