bonus	level	icon_path	threshold	upgrade_cost_new	upgrade_cost_from_previous_level
#campaign_unit_stat_bonuses_tables;1;db/campaign_unit_stat_bonuses_tables/campaign_unit_stat_bonuses					
campaign_unit_stat_bonus_type_accuracy	0	data/ui/campaign ui/effect_bundles/technology_positive.png	1	0	0
campaign_unit_stat_bonus_type_accuracy	1	data/ui/campaign ui/effect_bundles/technology_positive.png	4	0	0
campaign_unit_stat_bonus_type_accuracy	2	data/ui/campaign ui/effect_bundles/technology_positive.png	9	0	0
campaign_unit_stat_bonus_type_accuracy	3	data/ui/campaign ui/effect_bundles/technology_positive.png	19	0	0
campaign_unit_stat_bonus_type_accuracy	4	data/ui/campaign ui/effect_bundles/technology_positive.png	39	0	0
campaign_unit_stat_bonus_type_ammunition	0	data/ui/campaign ui/effect_bundles/technology_positive.png	19	50	25
campaign_unit_stat_bonus_type_ammunition	1	data/ui/campaign ui/effect_bundles/technology_positive.png	39	150	75
campaign_unit_stat_bonus_type_ammunition	2	data/ui/campaign ui/effect_bundles/technology_positive.png	79	450	225
campaign_unit_stat_bonus_type_armour	0	data/ui/campaign ui/effect_bundles/technology_positive.png	4	50	25
campaign_unit_stat_bonus_type_armour	1	data/ui/campaign ui/effect_bundles/technology_positive.png	9	150	75
campaign_unit_stat_bonus_type_armour	2	data/ui/campaign ui/effect_bundles/technology_positive.png	19	450	225
campaign_unit_stat_bonus_type_attack	0	data/ui/campaign ui/effect_bundles/technology_positive.png	1	0	0
campaign_unit_stat_bonus_type_attack	1	data/ui/campaign ui/effect_bundles/technology_positive.png	4	0	0
campaign_unit_stat_bonus_type_attack	2	data/ui/campaign ui/effect_bundles/technology_positive.png	9	0	0
campaign_unit_stat_bonus_type_attack	3	data/ui/campaign ui/effect_bundles/technology_positive.png	19	0	0
campaign_unit_stat_bonus_type_attack	4	data/ui/campaign ui/effect_bundles/technology_positive.png	39	0	0
campaign_unit_stat_bonus_type_charge	0	data/ui/campaign ui/effect_bundles/technology_positive.png	1	0	0
campaign_unit_stat_bonus_type_charge	1	data/ui/campaign ui/effect_bundles/technology_positive.png	4	0	0
campaign_unit_stat_bonus_type_charge	2	data/ui/campaign ui/effect_bundles/technology_positive.png	9	0	0
campaign_unit_stat_bonus_type_charge	3	data/ui/campaign ui/effect_bundles/technology_positive.png	19	0	0
campaign_unit_stat_bonus_type_charge	4	data/ui/campaign ui/effect_bundles/technology_positive.png	39	0	0
campaign_unit_stat_bonus_type_defence	0	data/ui/campaign ui/effect_bundles/technology_positive.png	1	0	0
campaign_unit_stat_bonus_type_defence	1	data/ui/campaign ui/effect_bundles/technology_positive.png	4	0	0
campaign_unit_stat_bonus_type_defence	2	data/ui/campaign ui/effect_bundles/technology_positive.png	9	0	0
campaign_unit_stat_bonus_type_defence	3	data/ui/campaign ui/effect_bundles/technology_positive.png	19	0	0
campaign_unit_stat_bonus_type_defence	4	data/ui/campaign ui/effect_bundles/technology_positive.png	39	0	0
campaign_unit_stat_bonus_type_horses	0	data/ui/campaign ui/effect_bundles/technology_positive.png	4	50	25
campaign_unit_stat_bonus_type_horses	1	data/ui/campaign ui/effect_bundles/technology_positive.png	9	150	75
campaign_unit_stat_bonus_type_horses	2	data/ui/campaign ui/effect_bundles/technology_positive.png	19	450	225
campaign_unit_stat_bonus_type_hull_health	0	data/ui/campaign ui/effect_bundles/technology_positive.png	4	50	25
campaign_unit_stat_bonus_type_hull_health	1	data/ui/campaign ui/effect_bundles/technology_positive.png	9	150	75
campaign_unit_stat_bonus_type_hull_health	2	data/ui/campaign ui/effect_bundles/technology_positive.png	19	450	225
campaign_unit_stat_bonus_type_morale	0	data/ui/campaign ui/effect_bundles/technology_positive.png	1	0	0
campaign_unit_stat_bonus_type_morale	1	data/ui/campaign ui/effect_bundles/technology_positive.png	4	0	0
campaign_unit_stat_bonus_type_morale	2	data/ui/campaign ui/effect_bundles/technology_positive.png	9	0	0
campaign_unit_stat_bonus_type_morale	3	data/ui/campaign ui/effect_bundles/technology_positive.png	19	0	0
campaign_unit_stat_bonus_type_morale	4	data/ui/campaign ui/effect_bundles/technology_positive.png	39	0	0
campaign_unit_stat_bonus_type_shield	0	data/ui/campaign ui/effect_bundles/technology_positive.png	4	50	25
campaign_unit_stat_bonus_type_shield	1	data/ui/campaign ui/effect_bundles/technology_positive.png	9	150	75
campaign_unit_stat_bonus_type_shield	2	data/ui/campaign ui/effect_bundles/technology_positive.png	19	450	225
campaign_unit_stat_bonus_type_weapon	0	data/ui/campaign ui/effect_bundles/technology_positive.png	4	50	25
campaign_unit_stat_bonus_type_weapon	1	data/ui/campaign ui/effect_bundles/technology_positive.png	9	150	75
campaign_unit_stat_bonus_type_weapon	2	data/ui/campaign ui/effect_bundles/technology_positive.png	19	450	225
