id	set_id	culture	faction	sub_culture	campaign
#building_chain_availabilities_tables;1;db/building_chain_availabilities_tables/building_chain_availabilities					
1000	rom_BARBARIAN_city_minor_limestone	rom_Barbarian			
10001	3c_rome_lead	rom_Roman	3c_mauretania		main_3c
10003	3c_rome_leather	rom_Roman	3c_mauretania		main_3c
10010	3c_rome_lumber	rom_Roman	3c_mauretania		main_3c
10018	3c_rome_marble	rom_Roman	3c_mauretania		main_3c
10025	3c_rome_military_buff	rom_Roman	3c_mauretania		main_3c
10032	3c_rome_military_siege	rom_Roman	3c_mauretania		main_3c
10033	3c_rome_navalbuff	rom_Roman	3c_mauretania		main_3c
10037	3c_rome_olive	rom_Roman	3c_mauretania		main_3c
10042	3c_rome_purple_dye	rom_Roman	3c_mauretania		main_3c
10045	3c_rome_silk	rom_Roman	3c_mauretania		main_3c
10048	3c_rome_town	rom_Roman	3c_mauretania		main_3c
10058	3c_rome_town_centre	rom_Roman	3c_mauretania		main_3c
10064	3c_rome_wine	rom_Roman	3c_mauretania		main_3c
10073	3c_rome_administration	rom_Roman	3c_numidia		main_3c
10080	3c_rome_agriculture	rom_Roman	3c_numidia		main_3c
10089	3c_rome_city_centre	rom_Roman	3c_numidia		main_3c
10098	3c_rome_city_major	rom_Roman	3c_numidia		main_3c
10099	3c_all_cults	rom_Roman	3c_numidia		main_3c
1010	rom_BARBARIAN_city_minor_marble	rom_Barbarian			
10101	3c_rome_military	rom_Roman	3c_numidia		main_3c
10111	3c_rome_military_aux	rom_Roman	3c_numidia		main_3c
10113	3c_rome_port	rom_Roman	3c_numidia		main_3c
10119	3c_rome_religious	rom_Roman	3c_numidia		main_3c
10128	3c_rome_sanitation	rom_Roman	3c_numidia		main_3c
10134	3c_rome_amber	rom_Roman	3c_numidia		main_3c
10137	3c_rome_glass	rom_Roman	3c_numidia		main_3c
10145	3c_rome_gold	rom_Roman	3c_numidia		main_3c
10149	3c_rome_grain	rom_Roman	3c_numidia		main_3c
10155	3c_rome_horse	rom_Roman	3c_numidia		main_3c
10158	3c_rome_industry	rom_Roman	3c_numidia		main_3c
10162	3c_rome_iron	rom_Roman	3c_numidia		main_3c
